"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs","lambda","lambda_q5","lambda_q95"
"id:I",1,-0.484960615,-0.7288385085,-0.24072787,1.00113699642536,6553.04242482782,0.378912685337727,607,0.8224662,0.719414538,0.933006834
"id:a",2,1.1512529,0.8641740735,1.48052897,1.00103898203667,4918.51759361495,0.240527182866557,607,0.74786163,0.651552008,0.859891681
"id:an",3,3.74067415,3.36558615,4.199128485,1.00088614315718,4416.05837369782,0.0757825370675453,607,0.999895905,0.829186081,1.19872258
"id:backyard",4,1.32551615,1.050425875,1.632525655,1.00021072729661,6083.3253649841,0.219110378912685,607,0.847388495,0.7299217025,0.9767979995
"id:couch",5,-0.73283671,-0.9130608785,-0.5479419065,1.00264649230041,8632.83099658723,0.393739703459638,607,1.2041192,1.04711932,1.38148794
"id:garbage",6,1.0416927,0.7608273495,1.3411302,1.00039229693677,5343.49633389349,0.242174629324547,607,0.83472081,0.7242094635,0.9578342765
"id:he",7,1.8451223,1.59576601,2.13456984,1.00125134823098,5322.85709569196,0.166392092257002,607,1.1413586,0.968072334,1.33363588
"id:her",8,2.39093635,2.13234063,2.67736144,1.00019819019475,5779.70477422188,0.128500823723229,607,1.2611557,1.06141777,1.50610209
"id:hers",9,3.12810865,2.78825546,3.540664975,1.0005253812206,3836.29638250575,0.102141680395387,607,0.96897664,0.812500214,1.150249495
"id:him",10,2.4447434,2.19084116,2.718336905,1.00100884931859,6695.59595801851,0.123558484349259,607,1.3393926,1.11950397,1.60426975
"id:his",11,2.61012415,2.330997835,2.94206275,1.00090502315927,4895.38308733476,0.120263591433278,607,1.13943575,0.9557854125,1.357021785
"id:it",12,0.82607742,0.579398813,1.09203466,1.00045072059399,5693.40470729495,0.257001647446458,607,0.86886158,0.7543495905,0.98703987
"id:me",13,-1.4392934,-1.67983836,-1.19984629,1.00141555461271,8119.42534702283,0.474464579901153,607,0.80674427,0.70795661,0.9171473085
"id:mine",14,-2.40308525,-2.67885511,-2.127703845,1.00144317383487,6430.38755149851,0.5667215815486,607,0.612769705,0.536116241,0.6981082555
"id:my",15,-0.20333687,-0.455885298,0.07031083095,1.00056996227185,5951.429201541,0.355848434925865,607,0.746137455,0.6527987585,0.8515288075
"id:noodles",16,-0.63217614,-0.849141295,-0.4029911275,1.00152641646647,6515.64126177878,0.390444810543657,607,0.88783602,0.780731407,1.00469211
"id:she",17,1.82600725,1.569630415,2.100650255,1.00026706116826,5962.57906727746,0.168039538714992,607,1.1348854,0.9698914745,1.33542412
"id:sofa",18,2.9575607,2.51909113,3.41307067,0.999840702719541,3740.77896219641,0.13673805601318,607,0.663185655,0.5675999165,0.7693119235
"id:spaghetti",19,0.131624355,-0.0823711572,0.357718615,1.00056718938008,5928.556805063,0.311367380560132,607,1.00505995,0.8794159405,1.14676307
"id:them",20,3.0264414,2.70372291,3.41147072,1.00110737461151,4796.83787842966,0.102141680395387,607,1.0705232,0.9011610605,1.272979495
