"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs","lambda","lambda_q5","lambda_q95"
"id:I",1,-0.85758163,-1.05807007,-0.6572707335,1.00030601591873,5400.44846706742,0.324648254299114,1919,0.716553035,0.667309951,0.769987557
"id:backyard",2,0.65971267,0.464230697,0.846633582,1.0024781223316,6639.68060353637,0.249088066701407,1919,0.857287405,0.7857587585,0.9349330665
"id:couch",3,-0.42488705,-0.596484037,-0.2543507875,1.00128851145563,6121.37511633025,0.300156331422616,1919,1.23618395,1.1270049,1.35898838
"id:her",4,2.5083409,2.35446524,2.672217425,1.00063547478195,5444.91677336766,0.154768108389786,1919,1.054161,0.94000782,1.179907765
"id:his",5,2.79142,2.62643432,2.969433255,1.00000751329856,5620.94378103238,0.140698280354351,1919,1.0342924,0.922920713,1.158299785
"id:it",6,0.23232033,0.0312746817,0.4295639475,1.00031093916699,6316.50145590244,0.270974465867639,1919,0.7204565,0.6672731125,0.7765680485
"id:me",7,-1.7693209,-1.953941125,-1.57945269,1.00108076908019,5300.82379155034,0.372068785825951,1919,0.732195905,0.6830870195,0.789328456
"id:mine",8,-2.2790002,-2.452176965,-2.095600155,1.00044069019077,5726.45328911387,0.395518499218343,1919,0.832578655,0.774818042,0.8942879075
"id:my",9,-0.57193776,-0.7535912025,-0.394678765,1.00024021543148,7628.11262156755,0.30745179781136,1919,0.862804385,0.7996183555,0.9307048315
"id:noodles",10,-0.572054925,-0.7639821795,-0.382012888,1.00125564092411,5576.83181942541,0.30745179781136,1919,0.867591045,0.806353811,0.9364691095
"id:spaghetti",11,-0.500355215,-0.67516373,-0.3326828315,1.00004372522137,6135.94831821258,0.303282959874935,1919,1.01773255,0.9352986335,1.10744176
"id:trash",12,-0.32115721,-0.5133715505,-0.1270680355,1.00121281525464,5638.5975453352,0.295987493486191,1919,0.83070404,0.770150266,0.8932837135
"ul:2SG",13,-0.784928015,-0.964410885,-0.6034140455,1.00069610480211,5423.12238872121,0.31735278791037,1919,0.87812362,0.812586794,0.948010275
"ul:2SG.POSS",14,1.86882795,1.68825886,2.05021524,1.00203302159026,6076.70523008395,0.189161021365294,1919,0.87266503,0.7919860225,0.962074042
"ul:airplane",15,-2.7059623,-2.864789765,-2.537643735,1.00014115993005,3888.31046734499,0.415841584158416,1919,0.94782924,0.8728201405,1.0257643
"ul:all",16,0.28815119,0.08712368925,0.490255946,1.00195882707293,5937.38159876381,0.268368942157374,1919,0.709387055,0.659326612,0.767640506
"ul:all gone",17,-3.4077868,-3.5759908,-3.23323219,1.00074773042934,3939.80426271937,0.473163105784263,1919,0.749612825,0.6943840715,0.8069434145
"ul:animal",18,-0.36069659,-0.529712864,-0.187979194,1.00005593817679,5512.99005840208,0.297029702970297,1919,1.03235555,0.9482587925,1.12471985
"ul:another",19,1.56488535,1.38404085,1.737585875,1.00085821475309,5164.69575654113,0.204273058884836,1919,0.9164676,0.828725886,1.01385207
"ul:apple",20,-3.43208595,-3.576026945,-3.28379826,1.0001369997445,4677.90115455904,0.462219906201146,1919,1.0060009,0.922476173,1.09734611
"ul:arm",21,-1.6054651,-1.759766375,-1.45020125,1.00112841566764,5492.82949856308,0.3470557582074,1919,1.4562134,1.317901305,1.611122795
"ul:asleep",22,-0.08285382,-0.264033,0.0904942887499998,1.00007260136825,5705.40788260048,0.284523189161021,1919,1.04003145,0.9530719155,1.136238995
"ul:aunt",23,0.213081445,0.01918404055,0.404040314,0.999956305020597,5264.80099115441,0.271495570609693,1919,0.75139694,0.6949573725,0.814222181
"ul:away",24,0.832545745,0.6633324455,1.0044895,0.999941320862544,5060.9231548487,0.240750390828557,1919,0.942860955,0.8599224765,1.031240845
"ul:baa baa",25,-4.31320195,-4.52145271,-4.105653895,1.00184348954287,5631.70844775743,0.552371026576342,1919,0.47589108,0.441041671,0.511164039
"ul:baby",26,-5.05221085,-5.193550095,-4.909214275,1.00084919852459,6132.63731609732,0.600312662845232,1919,0.83107458,0.7656064545,0.903688612
"ul:babysitter",27,3.5382023,3.30468129,3.800298385,1.00003833712222,5411.61084141084,0.117248566961959,1919,0.724040415,0.647777853,0.8069770475
"ul:babysitter's name",28,-0.42431341,-0.701724277,-0.1411863275,1.00089066935273,5282.94122377025,0.32725377800938,1919,0.4052572,0.3778795855,0.434583781
"ul:back (location)",29,0.405424245,0.2146097985,0.588118198,1.00247838034346,6447.66789919246,0.261594580510683,1919,0.79934159,0.738737773,0.866075417
"ul:bad",30,-0.144179365,-0.342801798,0.0573048959999999,1.00187055293835,5514.30097603275,0.2892131318395,1919,0.716466605,0.66743339,0.7701114255
"ul:ball",31,-6.35562605,-6.502673895,-6.210649005,1.00048019915563,5283.15726145919,0.715476810838979,1919,0.933404635,0.850631031,1.018224885
"ul:balloon",32,-4.5273559,-4.67282824,-4.381091645,1.00168255484416,5711.26840047144,0.554976550286608,1919,0.859419495,0.790117468,0.934422049
"ul:banana",33,-4.88067255,-5.03304208,-4.72580693,1.00118103584755,5967.64658290542,0.58676393955185,1919,0.76648797,0.7076236555,0.831664786
"ul:bath",34,-3.91208445,-4.06046228,-3.764479415,1.00047621038303,5202.1337985878,0.50078165711308,1919,0.95737505,0.878905332,1.0415076
"ul:bathroom",35,-0.74322898,-0.915169148,-0.5755565945,0.999568431272135,5759.81476952069,0.313183949973945,1919,1.22628415,1.11876976,1.34289609
"ul:bathtub",36,-2.04705865,-2.22440486,-1.86840505,1.00079217279957,5479.51987351791,0.378322042730589,1919,0.932877305,0.8630729805,1.005752455
"ul:beach",37,0.55566164,0.365183615,0.7497420935,1.00228594320207,5255.75822223423,0.254299114121939,1919,0.80442416,0.7401767795,0.8718685465
"ul:beads",38,1.869693,1.656934465,2.09340452,1.00170254964075,5267.66995533134,0.193850964043773,1919,0.65176016,0.5986586165,0.7101023805
"ul:bear",39,-3.5943801,-3.742264075,-3.437076095,1.00073661588104,4365.28006944917,0.476810838978635,1919,0.939121775,0.8636554205,1.020032635
"ul:bed",40,-1.9575888,-2.117059075,-1.80118358,1.00019248608205,4896.95532091291,0.362688900468994,1919,1.4121471,1.282522245,1.55837328
"ul:bedroom",41,0.044960864,-0.115577531,0.2019850185,1.00088257613605,5928.98274867662,0.280354351224596,1919,1.2811272,1.16007951,1.414486285
"ul:bee",42,-2.1202316,-2.2862751,-1.955384565,1.00101540121754,6188.45770949995,0.379364252214695,1919,1.01993475,0.94143382,1.104115785
"ul:belly button",43,-2.39745295,-2.560150705,-2.226519685,0.99986854842842,5189.01611803186,0.397081813444502,1919,0.955507605,0.880283142,1.035921045
"ul:bib",44,-1.119332,-1.315549075,-0.9247732105,1.00018351981895,4673.93643003954,0.33715476810839,1919,0.73918765,0.691081455,0.7917749305
"ul:bicycle",45,-1.7199549,-1.88555683,-1.548802745,0.999886936927438,5403.42145311592,0.357477853048463,1919,1.07981955,0.9945222405,1.175784085
"ul:big",46,-1.53486685,-1.699542585,-1.37407019,1.00076907075203,5316.80830508617,0.34549244398124,1919,1.3161166,1.20046894,1.4416947
"ul:bird",47,-4.58038705,-4.72121684,-4.444506575,1.00000031445561,5369.24573494071,0.557582073996873,1919,0.923737445,0.846067984,1.004606025
"ul:bite",48,-1.6821389,-1.860072925,-1.505404745,1.00049872699722,5702.33823234106,0.35695674830641,1919,1.02235045,0.942780973,1.109400895
"ul:blanket",49,-2.43204695,-2.58700447,-2.26486336,1.00177788561999,5668.9222687523,0.394476289734237,1919,1.0773303,0.9923350525,1.172675625
"ul:blocks",50,-2.27860495,-2.447146475,-2.111523305,1.00084330217609,4772.95819859898,0.392391870766024,1919,0.90396598,0.83437772,0.9757662675
"ul:blow",51,-1.0712262,-1.240029775,-0.900803812,0.999702423406895,6151.03670857877,0.327774882751433,1919,1.10089745,1.013662105,1.19878408
"ul:blue",52,-1.14303655,-1.31481802,-0.9699633835,1.00331955259314,5601.04568989677,0.331943720687858,1919,1.02150995,0.944469918,1.107261935
"ul:book",53,-4.99003395,-5.117879975,-4.85534187,1.00109213133283,5493.2747469508,0.593017196456488,1919,0.92997701,0.8527296505,1.011387345
"ul:boots",54,-0.77169143,-0.965409386,-0.585880105,1.00103533135253,6423.16509933794,0.31735278791037,1919,0.84615928,0.78614145,0.912259678
"ul:bottle",55,-4.33315915,-4.511341515,-4.140354055,1.00263313556251,5143.31326848531,0.549765502866076,1919,0.57616345,0.53400128,0.6222675945
"ul:bowl",56,-1.52442105,-1.6998934,-1.349772325,1.00059703829822,4842.25434181335,0.349140177175612,1919,1.0315152,0.950644537,1.117058585
"ul:box",57,-1.447161,-1.62115183,-1.280112525,1.00091785429958,5655.07214931443,0.34549244398124,1919,1.0441681,0.9603360185,1.129763525
"ul:boy",58,-0.948284245,-1.123020995,-0.7700089055,0.999816917898354,5169.87488315006,0.323084940072955,1919,1.01795635,0.9394666595,1.102389215
"ul:bread",59,-2.02977905,-2.19331574,-1.86055399,1.00120002921543,5646.8720316462,0.372068785825951,1919,1.10240735,1.00955034,1.199056605
"ul:break",60,-0.297651825,-0.461779883,-0.133048178,1.00141024448523,5949.31246957754,0.294945284002084,1919,1.29258235,1.176738185,1.428595245
"ul:breakfast",61,-0.43957194,-0.60341988,-0.2732159915,1.00157805069712,5812.03435457956,0.300677436164669,1919,1.19460295,1.08987081,1.30704958
"ul:bring",62,0.828679445,0.664457154,0.9818648875,1.00025624256779,5022.68107902041,0.242313705054716,1919,1.1478932,1.03306457,1.268049215
"ul:broken",63,-0.90179672,-1.05960552,-0.7451362175,1.00388849906724,6354.00280581002,0.319437206878583,1919,1.45851095,1.31900314,1.610736245
"ul:broom",64,-0.992923365,-1.179121005,-0.807311743,1.00122015427222,5124.32052394252,0.326732673267327,1919,0.90488665,0.8408532435,0.976118
"ul:brother",65,1.21421305,0.9526218825,1.487910915,1.00019146222159,3759.99612986748,0.236581552892131,1919,0.47710882,0.4421062195,0.512393194
"ul:brush (object)",66,-1.9860267,-2.15785964,-1.803834395,0.999949058175185,4873.22784090646,0.374153204794164,1919,0.95897791,0.88552852,1.038196575
"ul:bubbles",67,-3.70289505,-3.84751882,-3.555217435,1.00193409588205,5107.63550779966,0.486190724335591,1919,0.91542281,0.8429713315,0.995885637
"ul:bug",68,-1.8561765,-2.026475895,-1.67795215,1.00071680869247,5015.64243029762,0.367378843147473,1919,0.962349295,0.89321056,1.039364035
