"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.844699605,-1.016519985,-0.671174709,1.00095374906809,5314.84145587788,0.324648254299114,1919
"id:backyard",2,0.649800825,0.487210721,0.807961237,1.00141970455235,5939.9657293525,0.249088066701407,1919
"id:couch",3,-0.344850585,-0.5141240505,-0.171106553,1.00082216348038,5723.90585417141,0.300156331422616,1919
"id:her",4,2.24139375,2.084176545,2.394104885,1.00227179013544,6724.30207985218,0.154768108389786,1919
"id:his",5,2.47433235,2.3189034,2.629914955,1.00379281015138,8105.52994057695,0.140698280354351,1919
"id:it",6,0.23698458,0.07273791875,0.396713137,1.00187901298271,5833.26986844833,0.270974465867639,1919
"id:me",7,-1.7456008,-1.901032145,-1.591146765,1.00046722437331,7277.26503195358,0.372068785825951,1919
"id:mine",8,-2.1355084,-2.28003761,-1.987722035,1.00118454646777,8490.24370417679,0.395518499218343,1919
"id:my",9,-0.49305324,-0.666882294,-0.3227399285,1.00306342542669,5897.57243124382,0.30745179781136,1919
"id:noodles",10,-0.49439978,-0.661106435,-0.3251936715,0.999751957370505,5558.07605030437,0.30745179781136,1919
"id:spaghetti",11,-0.40894918,-0.579524473,-0.2339738445,1.00217600526923,6287.99279067258,0.303282959874935,1919
"id:trash",12,-0.25917086,-0.4245339645,-0.08792509625,0.999832641658159,6909.70567219163,0.295987493486191,1919
"ul:2SG",13,-0.696969905,-0.8585141055,-0.5271349955,1.00004127335437,6777.38042270152,0.31735278791037,1919
"ul:2SG.POSS",14,1.6772075,1.52571186,1.831900475,1.00255314387566,6389.33887094733,0.189161021365294,1919
"ul:airplane",15,-2.44220525,-2.587646685,-2.29963603,1.00439751302669,7363.71490441443,0.415841584158416,1919
"ul:all",16,0.286314485,0.1228865485,0.454066965,1.00056172709361,6309.17128361112,0.268368942157374,1919
"ul:all gone",17,-3.1937311,-3.32385885,-3.06606977,1.00116868060317,8396.73391785005,0.473163105784263,1919
"ul:animal",18,-0.278682615,-0.4555198295,-0.1035705955,1.00138222705736,6784.82640442664,0.297029702970297,1919
"ul:another",19,1.4271198,1.271632465,1.588322325,1.00133624140862,6960.02253657771,0.204273058884836,1919
"ul:apple",20,-3.0633869,-3.1927916,-2.930626275,1.00017285295228,8606.03558124722,0.462219906201146,1919
"ul:arm",21,-1.28763745,-1.451803605,-1.113640885,1.00224475822661,7448.8551803137,0.3470557582074,1919
"ul:asleep",22,-0.028024544,-0.203673919,0.1378077925,1.00219366880295,5718.70179261341,0.284523189161021,1919
"ul:aunt",23,0.227568655,0.06091229495,0.3916274985,1.00105518189946,5882.57714163621,0.271495570609693,1919
"ul:away",24,0.80078354,0.6369290995,0.9585106655,1.00208804155367,6256.89000620284,0.240750390828557,1919
"ul:baa baa",25,-4.06665505,-4.183235355,-3.948873035,1.00117510738188,7345.85001818107,0.552371026576342,1919
"ul:baby",26,-4.54889315,-4.66491725,-4.42552196,1.00218020519421,7180.54722966905,0.600312662845232,1919
"ul:babysitter",27,2.8751928,2.717246375,3.03331154,1.00028507171604,6350.48369159406,0.117248566961959,1919
"ul:babysitter's name",28,-0.891592825,-1.06206473,-0.721190305,1.00106009092801,5035.5775916399,0.32725377800938,1919
