"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.403013315,-0.6154414265,-0.1992214965,1.00166057805729,10286.5770184725,0.36530612244898,490
"id:backyard",2,0.41259286,0.203788077,0.6310723945,1.00252935162177,9721.51728769784,0.261224489795918,490
"id:couch",3,-0.076890657,-0.2796258785,0.1270365135,1.00315665491768,9178.49469344765,0.322448979591837,490
"id:her",4,1.2660759,1.034062785,1.505789615,1.00621510736754,9357.49055627859,0.16734693877551,490
"id:his",5,1.5478674,1.29714981,1.817012065,1.00053244677746,10097.5045382593,0.140816326530612,490
"id:it",6,0.24823812,0.03670305965,0.4648800335,1.00032079069083,10769.2153031457,0.281632653061224,490
"id:me",7,-0.905091835,-1.102721955,-0.701776207,1.00302551108114,12340.9712566686,0.43265306122449,490
"id:mine",8,-1.5540206,-1.757480105,-1.351654385,1.00189868193014,9965.80289641138,0.524489795918367,490
"id:my",9,-0.343622675,-0.5457796715,-0.138082633,1.00340492221695,9483.59568379521,0.357142857142857,490
"id:noodles",10,-0.43595547,-0.640280563,-0.232946741,1.00160402971515,8697.69870909934,0.369387755102041,490
"id:spaghetti",11,-0.0952694745,-0.2985909425,0.1156545675,1.00133864545752,9933.90847229444,0.324489795918367,490
"id:trash",12,-0.48616374,-0.68487128,-0.279134689,1.0030384893167,10358.6045476198,0.375510204081633,490
"ul:2SG",13,-0.271120605,-0.4737908005,-0.0623234850000001,1.00044556035796,9783.47866513873,0.346938775510204,490
"ul:2SG.POSS",14,1.16699925,0.9279924105,1.411458555,1.0005046979296,10061.6143086338,0.177551020408163,490
"ul:airplane",15,-1.3967419,-1.58958993,-1.199756615,1.00003358264663,8603.51583009934,0.502040816326531,490
"ul:all",16,0.33318903,0.114742386,0.5519018765,0.999950140648133,10137.0041740735,0.271428571428571,490
"ul:all gone",17,-2.09288645,-2.28723837,-1.89156837,1.00178062004194,10204.1318100636,0.6,490
"ul:animal",18,-0.23911185,-0.440892483,-0.03406110835,1.00323179928084,9716.98527634495,0.342857142857143,490
"ul:another",19,0.837534815,0.610351651,1.064640745,1.00252804499579,10847.0573201176,0.212244897959184,490
"ul:apple",20,-1.77093185,-1.961570785,-1.576024,1.00076503726338,11486.5954073256,0.555102040816327,490
"ul:arm",21,-0.770432125,-0.9664414645,-0.573914266,1.0055823808934,11901.6485868102,0.414285714285714,490
"ul:asleep",22,-0.12570619,-0.320856753,0.0776104795,1.00005830064135,10814.1708168045,0.328571428571429,490
"ul:aunt",23,0.213813775,0.0113870223,0.425395386,1.00078732616571,9614.65583758731,0.285714285714286,490
"ul:away",24,0.677220045,0.461785419,0.8950263645,1.00260893715072,10785.8398884254,0.230612244897959,490
"ul:baa baa",25,-2.2837064,-2.48114391,-2.085808285,1.00008812115619,11991.1552897497,0.626530612244898,490
"ul:baby",26,-2.65632705,-2.860079725,-2.456632645,1.0007891374775,10755.1278471735,0.675510204081633,490
"ul:babysitter",27,1.8554677,1.60870597,2.11886036,1.00225079867586,10716.6958262253,0.114285714285714,490
"ul:babysitter's name",28,-0.21700896,-0.422796722,-0.0129324033500001,1.00226855931665,12331.5591814243,0.340816326530612,490
"ul:back (location)",29,0.130687415,-0.06546811605,0.334929963,1.00628649448724,10393.187546783,0.295918367346939,490
"ul:bad",30,0.03214911,-0.1750432735,0.2426309385,1.00179012241445,9321.69061854548,0.308163265306122,490
"ul:ball",31,-3.62685595,-3.864364,-3.3982502,1.00418735768914,9654.08743690053,0.783673469387755,490
"ul:balloon",32,-2.1186685,-2.32484479,-1.91808355,1.00110193040889,10855.6873016806,0.604081632653061,490
"ul:banana",33,-2.4194308,-2.62179588,-2.21522251,1.00018227029137,10288.3819780914,0.644897959183673,490
"ul:bath",34,-2.09121245,-2.29261196,-1.890666685,1.00220048298057,12163.7921245112,0.6,490
"ul:bathroom",35,-0.27894324,-0.486884169,-0.0736412149000001,1.00213135717016,9152.88128653579,0.348979591836735,490
"ul:bathtub",36,-0.974635425,-1.167586355,-0.781343526,1.00028865845877,10351.794588228,0.442857142857143,490
"ul:beach",37,0.802510725,0.5883860925,1.021032965,1.00113459701863,9055.50927075038,0.216326530612245,490
"ul:beads",38,0.917054645,0.6933049355,1.146022155,1.00103823645422,10820.6994859787,0.204081632653061,490
"ul:bear",39,-1.6950035,-1.8978584,-1.49683209,1.0011476107181,11672.0513362513,0.544897959183673,490
"ul:bed",40,-1.294324,-1.498218635,-1.102970205,1.00258612050364,10054.3503896679,0.487755102040816,490
"ul:bedroom",41,0.053429837,-0.1514842095,0.2549701085,1.00129182641823,10577.3200541575,0.306122448979592,490
"ul:bee",42,-1.20866235,-1.39926329,-1.02008942,1.00092437583479,10095.7114401852,0.475510204081633,490
"ul:belly button",43,-1.2077662,-1.402601365,-1.010432515,1.00185728582793,10228.8666912693,0.475510204081633,490
"ul:bib",44,-0.663998135,-0.860017615,-0.4717319045,1.00077035909888,11019.075777056,0.4,490
"ul:bicycle",45,-0.82826031,-1.02808867,-0.631574729,1.00063599597226,11049.7066270037,0.422448979591837,490
"ul:big",46,-0.72649159,-0.921736238,-0.525464419,1.00183981206703,9550.59300530052,0.408163265306122,490
"ul:bird",47,-2.13668975,-2.336665285,-1.93426356,1.00117576314698,10633.5730975974,0.606122448979592,490
"ul:bite",48,-0.784212605,-0.982967282,-0.584736548,1.00009348142268,9045.3385554433,0.416326530612245,490
"ul:blanket",49,-1.45362255,-1.652180125,-1.25521933,1.0000566948574,11253.1283658078,0.510204081632653,490
"ul:blocks",50,-1.0912793,-1.286875285,-0.8881458955,0.999832619353715,9540.25408261211,0.459183673469388,490
"ul:blow",51,-0.39249333,-0.597624776,-0.190104735,0.999640038178963,11622.7303387317,0.363265306122449,490
"ul:blue",52,-0.752927875,-0.953235135,-0.5612818695,1.00118897868768,10371.0196133698,0.412244897959184,490
"ul:book",53,-2.67330855,-2.875975135,-2.46985759,1.000880427525,10037.6021545616,0.677551020408163,490
