"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:akebrett",1,-0.0092481644,-0.0712409433,0.05052853275,1.0005786399361,5274.65864042739,0.448088779284834,4055
"id:at",2,1.9244912,1.84929346,1.99966617,1.00163886860714,6955.91912044757,0.157829839704069,4055
"id:badebasseng",3,0.805507465,0.7415847675,0.869097474,1.00095092983165,5046.88452507815,0.309741060419235,4055
"id:bak",4,0.015848253,-0.04668635325,0.0770905256,1.00127073892116,5172.94129801005,0.380503144654088,4770
"id:bestefar",5,-0.60731982,-0.6676749445,-0.5441649045,0.999924847704027,6763.30305029173,0.476939203354298,4770
"id:bestemor",6,-0.49182297,-0.5521035955,-0.432468094,1.00176663986883,6725.30151874323,0.459329140461216,4770
"id:bli",7,0.92852586,0.86354302,0.995252459,1.0021264821342,6674.66974738403,0.290258939580764,4055
"id:blyant",8,0.297470785,0.237000352,0.3576327385,1.00101069909293,5292.65616710124,0.394081381011097,4055
"id:boks",9,-0.188211655,-0.2506845355,-0.124698485,1.00005012360957,5143.80790465511,0.479654747225647,4055
"id:bort",10,0.293612115,0.2320585325,0.355458522,1.00060518562432,5765.81643485511,0.338155136268344,4770
"id:borte",11,-1.58983285,-1.65846125,-1.522513965,0.999716817457865,9452.49451472039,0.716152897657213,4055
"id:bra",12,-0.0856512675,-0.1461847565,-0.02623257655,0.99976769830773,5174.53917141966,0.39601677148847,4770
"id:burde",13,3.8265107,3.685669455,3.97947559,1.00040668890941,7188.14346306956,0.0330456226880395,4055
"id:bør",14,3.84077005,3.703866405,3.985910485,1.00117050049173,6663.70517380117,0.0325524044389642,4055
"id:de",15,1.41450855,1.344693245,1.485331575,1.00213132865945,7012.68213956919,0.219975339087546,4055
"id:deg",16,0.44007299,0.378559096,0.5050733155,1.0008029161008,6098.23314818394,0.369667077681874,4055
"id:dem",17,2.02727495,1.948910025,2.104556445,1.00378490259569,7911.11677344749,0.146979038224414,4055
"id:den",18,-1.41162475,-1.47244597,-1.3510913,1.00200256808112,8068.52228276109,0.59769392033543,4770
"id:denne",19,-0.276548125,-0.3353451145,-0.213655398,1.00016593032858,5804.56007300429,0.425576519916143,4770
"id:det",20,-0.18566139,-0.247665027,-0.1229264175,1.00288922287992,5832.95132927857,0.411530398322851,4770
"id:dette",21,1.1229284,1.055742025,1.191167855,0.999993119183818,6532.74590159086,0.223060796645702,4770
"id:du",22,-0.03568599,-0.0946278495,0.02423877635,1.00166440332721,5757.96900800553,0.388259958071279,4770
"id:dyne",23,-1.1754807,-1.238700215,-1.115039245,1.00195488993848,7740.51892620516,0.563522012578616,4770
"id:dårlig",24,1.32761525,1.25674086,1.396743515,1.0014953572398,6219.63292629385,0.231812577065351,4055
"id:ei",25,2.4342144,2.34530601,2.52600606,1.00212358488667,7873.55947913754,0.108754623921085,4055
"id:elske",26,1.55362845,1.479971625,1.62592644,1.00464494598742,7657.29758878993,0.172327044025157,4770
"id:en",27,0.420820445,0.3597160285,0.4812955635,1.00042669283595,5053.3372846771,0.372872996300863,4055
"id:eske",28,0.37424163,0.3136687445,0.436752144,1.00084979566209,5076.72229141563,0.326415094339623,4770
"id:etter",29,1.25149145,1.184442795,1.31867224,1.00127420846321,5894.3992806167,0.242416769420469,4055
"id:etterpå",30,-0.123081935,-0.187037803,-0.06308123735,1.00053287299659,5446.77005821688,0.468310727496917,4055
"id:farfar",31,0.15369098,0.09340751115,0.2153105465,1.00064560567232,4855.52271365339,0.359329140461216,4770
"id:fargeblyant",32,1.0784431,1.010074745,1.14840997,1.0007666931931,5945.98396473192,0.267570900123305,4055
"id:farmor",33,0.011281247,-0.0485606971,0.0718986873,1.00085517797255,5765.29051733187,0.381132075471698,4770
"id:fat",34,0.488585415,0.4236957365,0.5515489425,1.00078954934533,5847.75244075198,0.361775585696671,4055
"id:formiddag",35,3.4675696,3.34321291,3.59584879,1.00293266702138,8441.66711544876,0.0458692971639951,4055
"id:forte seg",36,0.511729905,0.4501279145,0.573560857,1.00236165933962,5914.8009572095,0.306079664570231,4770
"id:frekk",37,3.2204618,3.107182,3.33161679,0.999884671776789,6745.13343750873,0.0486373165618449,4770
"id:få",38,-1.3971446,-1.459963665,-1.33485953,1.00296532202915,7662.89121818764,0.59559748427673,4770
"id:gjør",39,0.804527115,0.737827241,0.868286746,1.0008768074439,5526.94587651039,0.309987669543773,4055
"id:gjøre",40,0.81222805,0.748072917,0.877559053,1.00130080132494,5938.12842702003,0.30826140567201,4055
"id:gli",41,0.76972662,0.7034541425,0.83566031,1.00012427538736,5353.95557864784,0.315166461159063,4055
"id:god",42,-0.10776558,-0.166808497,-0.04838510555,1.0013673287412,5681.37265549639,0.465351418002466,4055
"id:godteri",43,-0.057449949,-0.118758228,0.00211568626999997,1.0009424132772,5918.4515320414,0.456473489519112,4055
"id:gåbil",44,1.52149615,1.449061015,1.593571065,1.00164080918765,7170.95360684306,0.205918618988903,4055
"id:ha",45,-1.1935822,-1.25541495,-1.131359595,0.999459707029742,7958.23646685873,0.654254007398274,4055
