"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.705305415,-0.9577639395,-0.439292856,1.00107617191487,7656.78102156949,0.36530612244898,490
"id:backyard",2,0.587133665,0.3113985835,0.8709951715,1.00007909334476,5167.11819278588,0.261224489795918,490
"id:couch",3,-0.198933785,-0.458810567,0.0596007113999999,1.00041969879479,6389.27357078318,0.322448979591837,490
"id:her",4,2.0085813,1.702400335,2.33356251,1.00019581290935,6862.5766404123,0.16734693877551,490
"id:his",5,2.4861578,2.16993838,2.8185064,1.00082941342391,6426.56978559383,0.140816326530612,490
"id:it",6,0.315406865,0.04502319605,0.5899044995,1.00365798935179,6227.31995415169,0.281632653061224,490
"id:me",7,-1.4595452,-1.704389345,-1.20972068,1.00013470100101,6441.24353129362,0.43265306122449,490
"id:mine",8,-2.4281494,-2.665957105,-2.187102275,1.00156411347483,8140.60437273399,0.524489795918367,490
"id:my",9,-0.611884305,-0.860885947,-0.353140473,1.00187886413132,6761.20671161132,0.357142857142857,490
"id:noodles",10,-0.752673605,-0.9998997245,-0.493913084,0.999517165584379,6348.81221232396,0.369387755102041,490
"id:spaghetti",11,-0.2199327,-0.4705205655,0.0301586674499999,1.00278802106473,6306.18645675111,0.324489795918367,490
"id:trash",12,-0.823442955,-1.079309165,-0.5580854175,1.00108331419634,7725.29184130879,0.375510204081633,490
"ul:2SG",13,-0.493569005,-0.749870022,-0.236358756,1.00228565243087,7032.16554776136,0.346938775510204,490
"ul:2SG.POSS",14,1.8459528,1.536712915,2.15479174,1.00010812962143,6177.85419640873,0.177551020408163,490
"ul:airplane",15,-2.19459025,-2.43219998,-1.951770305,1.00058951082257,7622.45162211968,0.502040816326531,490
"ul:all",16,0.454333315,0.184148395,0.7198532035,1.00001286311395,5279.41226104312,0.271428571428571,490
"ul:all gone",17,-3.2004184,-3.44468192,-2.97043823,1.00198334390385,7370.83689284543,0.6,490
"ul:animal",18,-0.441907075,-0.6941949215,-0.1845602825,1.00102254439752,7371.72233796289,0.342857142857143,490
"ul:another",19,1.283537,0.9989546265,1.59045208,1.00048418033742,7228.94646565039,0.212244897959184,490
"ul:apple",20,-2.73936055,-2.97493297,-2.505287975,1.00086857678215,8224.99581642049,0.555102040816327,490
"ul:arm",21,-1.2518041,-1.49940071,-1.013821935,1.00310335786787,7300.651618092,0.414285714285714,490
"ul:asleep",22,-0.26853289,-0.5413070665,0.00111389728999999,1.00152824387448,6637.75790877587,0.328571428571429,490
"ul:aunt",23,0.26830205,0.000823851077000003,0.5367745425,1.00097289258284,4456.46547609545,0.285714285714286,490
"ul:away",24,1.0113868,0.740186195,1.302744995,1.00009611990177,6221.83531258597,0.230612244897959,490
"ul:baa baa",25,-3.4738765,-3.713620995,-3.23162506,1.00312024114423,9242.7153252823,0.626530612244898,490
"ul:baby",26,-3.97746115,-4.21956884,-3.74024277,1.00105810166659,7563.83310701825,0.675510204081633,490
"ul:babysitter",27,3.0213878,2.677842035,3.364953945,1.00175232007929,7358.60944701974,0.114285714285714,490
"ul:babysitter's name",28,-0.415628115,-0.6662790855,-0.1664929255,1.00163278300642,5795.27832244388,0.340816326530612,490
