"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.510158515,-0.7106787805,-0.3072259635,1.00223920409035,7675.61103135919,0.378912685337727,607
"id:a",2,0.87300508,0.6563314795,1.097662375,0.999790717213231,8312.32979133942,0.240527182866557,607
"id:an",3,3.3478435,3.03838596,3.670751985,1.00282002798411,7595.579051915,0.0757825370675453,607
"id:backyard",4,1.1235294,0.8915434715,1.350222645,1.00137531738812,7818.3000406831,0.219110378912685,607
"id:couch",5,-0.647283695,-0.840566325,-0.4367913705,1.00045702631853,7733.90096423349,0.393739703459638,607
"id:garbage",6,0.852397755,0.6278338975,1.087093185,1.00042163293422,8488.86363769765,0.242174629324547,607
"id:he",7,1.79019495,1.537787625,2.037614685,1.00458528234709,7917.48821519318,0.166392092257002,607
"id:her",8,2.3572707,2.083918565,2.623295435,1.00346562623617,7102.79754084625,0.128500823723229,607
"id:hers",9,2.80494265,2.52572733,3.09630617,0.999443038905454,8078.06918564094,0.102141680395387,607
"id:him",10,2.43346975,2.168440475,2.71047925,0.99959502175195,8135.46661075646,0.123558484349259,607
"id:his",11,2.48883035,2.21752045,2.762746615,0.99954044119123,7135.10065760928,0.120263591433278,607
"id:it",12,0.691524785,0.476152761,0.9180141915,1.00226350124632,7548.25296065479,0.257001647446458,607
"id:me",13,-1.34507315,-1.543246515,-1.151420565,1.00119524213603,8195.97940022622,0.474464579901153,607
"id:mine",14,-2.13333765,-2.33574083,-1.93853113,1.00172297197192,8509.97004410555,0.5667215815486,607
"id:my",15,-0.300026135,-0.4951011455,-0.0952418142000001,1.0001362773052,7946.19849916585,0.355848434925865,607
"id:noodles",16,-0.612932595,-0.81124658,-0.413081753,1.0020035089067,7672.81791363191,0.390444810543657,607
"id:she",17,1.7690926,1.52015584,2.01631966,1.00069873543142,8528.91036755389,0.168039538714992,607
"id:sofa",18,2.22643455,1.95820322,2.498046395,1.00094706800177,8262.13261448546,0.13673805601318,607
"id:spaghetti",19,0.130374975,-0.07870343935,0.347365318,1.00149433516262,6897.29656354145,0.311367380560132,607
"id:them",20,2.8140504,2.52383659,3.11369841,1.001121949797,8423.27552487376,0.102141680395387,607
"id:they",21,2.7169572,2.443925035,3.006543945,1.00136144320999,8566.57806132255,0.107084019769357,607
