"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs","lambda","lambda_q5","lambda_q95"
"id:akebrett",1,0.054565993,-0.0238972591,0.1371662305,1.08732218053222,28.4914605630231,0.450888450148075,4052,1.0188088,0.968761725,1.069231755
"id:at",2,3.02552425,2.934641405,3.13713931,1.0651917127853,45.6468675754042,0.1606614017769,4052,1.03609455,0.9729255915,1.09640409
"id:badebasseng",3,1.3431248,1.25254129,1.438789205,1.12248452420128,21.4226978681666,0.312931885488648,4052,0.952829755,0.9034218535,1.011714795
"id:bak",4,0.0578757125,-0.01090624265,0.120691952,1.02432096622885,160.876451731648,0.384067085953878,4770,1.26102895,1.20552677,1.32988395
"id:bestefar",5,-0.97698545,-1.08501335,-0.868113643,1.03303188583727,535.41304354333,0.478406708595388,4770,0.507726655,0.48446362,0.53123897
"id:bestemor",6,-0.750100165,-0.8802958495,-0.617590335,1.04699942325345,56.6169400927165,0.461215932914046,4770,0.46168591,0.4412109995,0.484944578
"id:bli",7,1.56108085,1.478098295,1.654718795,1.09456817252952,28.4806696644689,0.293928923988154,4052,0.91883974,0.8709862265,0.960873617
"id:blyant",8,0.53817976,0.4554687455,0.625478109,1.05145928833477,81.0742678557529,0.399555774925963,4052,0.93466296,0.8905432015,0.9800511635
"id:boks",9,-0.219814585,-0.291295068,-0.1537970735,1.03222345689187,120.228358894011,0.483218163869694,4052,1.10156295,1.049043895,1.163311975
"id:bort",10,0.6060115,0.5070419035,0.711283405,1.05658639541495,46.4624307981474,0.342138364779874,4770,0.727391025,0.6936734885,0.76494699
"id:borte",11,-2.7788776,-2.9105082,-2.663327975,1.06516402666954,40.2715538444805,0.719891411648569,4052,0.65071262,0.613694008,0.6886249365
"id:bra",12,-0.08890819,-0.164210757,-0.0107531506,1.05416550168294,50.4517007885026,0.39895178197065,4770,1.02003185,0.975768626,1.07399374
"id:burde",13,5.9220255,5.687394925,6.179103925,1.00465428732474,355.617362509158,0.0330700888450148,4052,1.03200965,0.931251254,1.13593001
"id:bør",14,6.0723765,5.844303685,6.334948365,1.00641742371902,794.543249220071,0.0330700888450148,4052,0.950685985,0.86322103,1.03841966
"id:de",15,2.36326465,2.25536701,2.458810355,1.00350817049312,239.146168980744,0.222606120434353,4052,0.898575445,0.850680419,0.948683316
"id:deg",16,0.807318975,0.724764902,0.883438485,1.02952599062703,115.847461432076,0.372408687068115,4052,0.876310985,0.8370759375,0.921865918
"id:dem",17,3.35790115,3.234825775,3.48872974,1.01702589628294,310.010771183144,0.150542941757157,4052,0.859989225,0.807401898,0.9169639515
"id:den",18,-2.6192895,-2.76801112,-2.500014935,1.07404853692902,40.3870146923363,0.6,4770,0.47491714,0.452891028,0.496905525
