"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.620572025,-0.793422026,-0.4588183155,1.01324375578057,233.106974327852,0.374331550802139,935
"id:a",2,0.783169255,0.588219233,0.9632882635,1.01107059864528,211.7001219725,0.238502673796791,935
"id:an",3,3.6579888,3.3876661,3.93089675,1.01670971877003,903.53646864719,0.0684491978609626,935
"id:backyard",4,1.34745405,1.145048355,1.53568233,1.01166053168221,266.554845256714,0.194652406417112,935
"id:couch",5,-0.61431641,-0.7848626555,-0.450324476,1.0180366326836,268.206257728055,0.373262032085562,935
"id:garbage",6,0.887839415,0.694570966,1.07142259,1.00641486540366,188.880109604047,0.229946524064171,935
"id:he",7,1.93248305,1.714577935,2.149639075,1.00641382760419,440.505808366991,0.152941176470588,935
"id:her",8,2.39122195,2.17720631,2.616027015,1.012467568578,509.628811295561,0.125133689839572,935
"id:hers",9,3.08204425,2.81992718,3.360170415,1.03301406421003,198.179530513034,0.0898395721925134,935
"id:him",10,2.5668856,2.33126838,2.82166093,1.02915019530459,254.908186468277,0.116577540106952,935
"id:his",11,2.64426905,2.418655445,2.87642263,1.01279771413873,252.909027984034,0.111229946524064,935
"id:it",12,0.634769265,0.4587445865,0.806481325,1.01940974823711,257.924646502098,0.251336898395722,935
"id:me",13,-1.2311796,-1.39664533,-1.077558795,1.02442945725856,241.133449105254,0.440641711229946,935
"id:mine",14,-2.23159855,-2.38837367,-2.06767969,1.00644652293934,304.700571895404,0.554010695187166,935
"id:my",15,-0.22394958,-0.3814407,-0.0592813520500001,1.01070558118582,479.82980065057,0.332620320855615,935
"id:noodles",16,-0.79525293,-0.951210832,-0.63259041,1.01612311558115,822.730642080654,0.392513368983957,935
"id:she",17,1.99961685,1.78959659,2.217099065,1.00804794037203,377.536889417565,0.148663101604278,935
"id:sofa",18,2.38314875,2.157928665,2.607284355,1.01433359715311,287.155859959192,0.12620320855615,935
"id:spaghetti",19,0.022206618,-0.144397368,0.1948645655,1.02952339285613,137.877046501376,0.306951871657754,935
"id:them",20,2.9975607,2.733488085,3.26478992,1.08326125996948,32.6781474842765,0.0962566844919786,935
"id:they",21,2.90897105,2.659268565,3.15466458,1.00088441620871,260.73199837385,0.0983957219251337,935
"id:trash",22,-1.3480809,-1.51101939,-1.188579085,1.01261232375484,245.895557607697,0.454545454545455,935
"id:us",23,3.4527559,3.18205317,3.72514361,1.02365748130205,310.663360232921,0.0759358288770054,935
"id:we",24,2.4805497,2.25652204,2.703781195,1.02893447764013,208.587052100065,0.119786096256684,935
"id:yard",25,1.4604972,1.260702965,1.660341005,1.05098558639101,72.621354196228,0.183957219251337,935
"ul:1PL.POSS",26,3.05649525,2.81408246,3.30732852,1.00254436830952,419.394062167569,0.0919786096256685,935
"ul:1SG.REFL",27,2.367724,2.14416278,2.599118455,1.00407066294021,252.444880247362,0.12620320855615,935
"ul:2SG",28,-0.50489528,-0.667908942,-0.3213415975,1.05886487947013,46.2427241878399,0.362566844919786,935
"ul:2SG.POSS",29,1.99321865,1.785464715,2.20956704,1.00310911158329,306.846351407875,0.148663101604278,935
"ul:2SG.REFL",30,3.9332437,3.64074616,4.21269859,1.03355254682243,143.676023180635,0.0598930481283422,935
"ul:3PL.POSS",31,3.5887272,3.30845481,3.86956117,1.00429369861974,519.137395198748,0.0705882352941176,935
"ul:a lot",32,1.73832275,1.524434675,1.94238687,1.02627547379346,157.820573903094,0.164705882352941,935
"ul:about",33,3.9407937,3.64797078,4.25870111,1.00466124427912,188.619873809685,0.0588235294117647,935
"ul:above",34,3.11065405,2.867318,3.37555769,1.00934899239956,348.077607962741,0.0887700534759358,935
"ul:after",35,2.08273535,1.85606365,2.318942605,1.02848387190536,152.342296490821,0.142245989304813,935
"ul:airplane",36,-2.0094486,-2.173651765,-1.84061194,1.00209866590205,275.469188604909,0.528342245989305,935
"ul:all",37,0.945777965,0.7737878905,1.12525238,1.00736170637212,390.080958433444,0.224598930481283,935
"ul:all gone",38,-2.77668945,-2.93997513,-2.608690185,1.01299232401882,372.341869735058,0.614973262032086,935
"ul:alligator",39,0.050005295,-0.1097826845,0.2165004865,1.01955384929023,288.407918111533,0.304812834224599,935
"ul:am",40,1.9272478,1.72889694,2.139140465,1.03776621011372,81.019119524275,0.151871657754011,935
"ul:and",41,1.17113715,0.981252591,1.36424994,1.02788667316063,650.834693270676,0.207486631016043,935
"ul:animal",42,-0.682438495,-0.8700713545,-0.515986441,1.01802625734794,160.132803033942,0.379679144385027,935
"ul:ankle",43,2.2701006,2.05319724,2.498395495,1.0419178208932,159.374348779473,0.131550802139037,935
"ul:another",44,1.75895725,1.555836325,1.961154195,1.01700648240982,455.997781463137,0.163636363636364,935
"ul:ant",45,0.0740751805,-0.1029562325,0.25173686,1.0210106504711,183.277463832283,0.302673796791444,935
"ul:any",46,2.66365275,2.4114466,2.922017495,1.03310254196449,84.3595228397352,0.111229946524064,935
"ul:apple",47,-3.7631031,-3.927309515,-3.60408375,1.01411158570835,1078.97162378838,0.718716577540107,935
"ul:applesauce",48,-0.47988293,-0.6442025625,-0.3078934305,1.02321740049952,138.020931429368,0.358288770053476,935
"ul:are",49,2.42177405,2.19578292,2.64232363,1.00783365851618,307.039937846461,0.124064171122995,935
"ul:arm",50,-1.5497148,-1.71463692,-1.379390425,1.08156845920467,32.5604198741222,0.47807486631016,935
"ul:around",51,2.63858425,2.42411978,2.883635435,1.0111456962802,604.57381793479,0.111229946524064,935
"ul:asleep",52,-0.19207804,-0.3530403385,-0.0358782501500001,1.01070738855967,363.402102242553,0.33048128342246,935
"ul:at",53,1.801722,1.60000376,2.01025724,1.01491402553481,339.121860403296,0.160427807486631,935
"ul:aunt",54,0.4741955,0.3027002065,0.6538235265,1.02117129020847,276.228862395027,0.266310160427807,935
"ul:awake",55,0.29059556,0.118704448,0.465029672,1.00892409674172,395.699246003482,0.282352941176471,935
"ul:away",56,1.23046555,1.04629909,1.422680835,1.00172317720483,441.982289878797,0.202139037433155,935
"ul:baa baa",57,-3.78924565,-3.96928107,-3.62332618,1.00260806606221,678.009593875508,0.720855614973262,935
