"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs","lambda","lambda_q5","lambda_q95"
"id:I",1,-0.62735707,-0.943433758,-0.303094718,1.00205746374842,7205.29174256293,0.356713426853707,499,0.74049233,0.643254747,0.846540691
"id:backyard",2,0.62334538,0.3334146485,0.93430059,1.00061628688757,8592.97120111811,0.256513026052104,499,0.94365263,0.8174011655,1.08952062
"id:couch",3,-0.1448766,-0.3845790775,0.1056277855,1.00160386452787,10028.6650836559,0.308617234468938,499,1.16425935,0.994185715,1.365339835
"id:her",4,2.009203,1.698281385,2.345360645,1.00284724333461,8206.80146259975,0.164328657314629,499,1.0420028,0.877007499,1.235441095
"id:his",5,2.46323535,2.16155804,2.79831265,1.00056372707346,8686.12190556682,0.138276553106212,499,1.06657095,0.8951302905,1.27400327
"id:it",6,0.434689955,0.146220178,0.7431481525,1.00004422084686,8214.83670644996,0.272545090180361,499,0.864434325,0.744645373,0.9945990375
"id:me",7,-1.42720595,-1.72783235,-1.10666624,0.999766113349531,8532.09146463316,0.420841683366733,499,0.70318559,0.610123232,0.802496906
"id:mine",8,-2.4713516,-2.73933022,-2.19447172,1.00146775232802,8686.40843311837,0.50501002004008,499,0.814089765,0.705677766,0.9306875445
"id:my",9,-0.481079015,-0.7818649315,-0.156527568,1.00150496482457,9108.14158901732,0.344689378757515,499,0.75077891,0.655201393,0.863993288
"id:noodles",10,-0.698542395,-0.982740851,-0.41843522,1.0005473482901,8712.74811207358,0.356713426853707,499,0.928272765,0.8039056385,1.06745563
"id:spaghetti",11,-0.180942845,-0.4360568955,0.0648362462,1.00254070290177,6900.25522270364,0.312625250501002,499,1.1153544,0.945534964,1.29935886
"id:trash",12,-0.759338225,-1.063184885,-0.454428935,1.00105851385866,8952.82076778207,0.364729458917836,499,0.81304836,0.7066131895,0.9322150915
"ul:2SG",13,-0.45214281,-0.728972924,-0.161448072,0.999728447544822,7996.87982725394,0.338677354709419,499,0.86294182,0.7505561255,0.992194671
"ul:2SG.POSS",14,1.8957279,1.588006995,2.244381945,1.00104169262776,7612.00863480929,0.172344689378758,499,0.988868745,0.8394652405,1.167972565
"ul:airplane",15,-2.35969965,-2.631619345,-2.091203995,1.00609636443401,9844.81392021836,0.49498997995992,499,0.89311815,0.775980961,1.023422335
"ul:all",16,0.59258874,0.270207072,0.9124886485,1.00090632749965,8005.03714089573,0.264529058116232,499,0.79765649,0.69018677,0.9153913425
"ul:all gone",17,-3.50253725,-3.80862136,-3.20144653,1.00113482108857,9916.85339692023,0.591182364729459,499,0.730414605,0.634261612,0.83439389
"ul:animal",18,-0.43956476,-0.6812389805,-0.1869039815,1.00188128508304,9541.6990283026,0.332665330661323,499,1.1074257,0.9480080775,1.29060933
"ul:another",19,1.38753795,1.114578185,1.682838775,1.00243518192464,9283.07515663056,0.202404809619238,499,1.0447362,0.884596719,1.2298093
"ul:apple",20,-2.9468971,-3.19078096,-2.70270635,1.00122091649357,7859.0100848312,0.545090180360721,499,1.0298156,0.8876514255,1.18758668
"ul:arm",21,-1.29677215,-1.510803165,-1.081282235,1.00084994383039,8245.62679376873,0.400801603206413,499,1.37886545,1.172438025,1.61599634
"ul:asleep",22,-0.29174799,-0.537772846,-0.027453807,1.00066086607683,7873.31556109109,0.32064128256513,499,1.1140901,0.9536166775,1.302210085
"ul:aunt",23,0.345727935,0.0350411201,0.6759813695,1.00227299332651,7548.98323585251,0.282565130260521,499,0.78454443,0.6760316125,0.903925173
"ul:away",24,1.06364175,0.760912739,1.37868827,1.00045308702913,8477.16083245261,0.226452905811623,499,0.94709108,0.8130881415,1.100164185
"ul:baa baa",25,-4.0308803,-4.397771265,-3.691295655,0.999334795620885,9919.65732242492,0.627254509018036,499,0.55905686,0.4863456465,0.6390455085
"ul:baby",26,-4.42631085,-4.715738395,-4.1419986,1.00044335853987,7626.84593140293,0.669338677354709,499,0.824142525,0.712931948,0.9513054355
"ul:babysitter",27,3.0822139,2.701012585,3.516741985,0.999799744485536,6237.50421948344,0.11623246492986,499,0.838701265,0.6977158615,0.9978476385
"ul:babysitter's name",28,-0.18383402,-0.5457858305,0.211517522,1.00184277806286,8556.84225274927,0.332665330661323,499,0.587988455,0.512511306,0.670793765
"ul:back (location)",29,0.162314535,-0.1130442985,0.4529802895,1.00352866370827,9721.74908273196,0.288577154308617,499,0.994633405,0.8607165095,1.15392253
"ul:bad",30,0.060529042,-0.202598242,0.338436189,1.00016367240297,8051.50967131257,0.296593186372746,499,0.970210025,0.8337397575,1.1282497
"ul:ball",31,-5.97397,-6.34397899,-5.627953245,0.999780116157067,6906.66823053918,0.783567134268537,499,0.79378018,0.672418654,0.931488296
"ul:balloon",32,-3.66686985,-3.959635075,-3.383392055,0.999886410713654,8726.80712301751,0.605210420841683,499,0.76531903,0.6630365535,0.8797827515
"ul:banana",33,-4.1463691,-4.49411113,-3.82675338,1.00154508518154,8379.01620391185,0.64128256513026,499,0.66405752,0.5728981965,0.7663595205
"ul:bath",34,-3.4333796,-3.68489912,-3.176968405,1.00002816746082,9772.60291327865,0.587174348697395,499,0.97625806,0.8453340655,1.123209765
"ul:bathroom",35,-0.552196245,-0.7722702215,-0.332045909,1.00311576323378,7862.00599703996,0.338677354709419,499,1.39710625,1.17856722,1.646629215
"ul:bathtub",36,-1.6067393,-1.84844164,-1.35503298,1.00097598826176,9589.32313254786,0.428857715430862,499,1.09455065,0.940521168,1.270663505
"ul:beach",37,1.52790495,1.19461398,1.89359243,1.00217368068157,7941.59278028618,0.202404809619238,499,0.800947645,0.6830486015,0.9333096055
"ul:beads",38,1.60458605,1.270560335,1.96629467,1.00077331601617,6056.4437845421,0.198396793587174,499,0.789986155,0.671886926,0.922537146
"ul:bear",39,-2.9222986,-3.18251563,-2.65673495,1.0008184892463,9484.44113999644,0.543086172344689,499,0.91595733,0.7976320175,1.047434695
"ul:bed",40,-2.1487673,-2.374142005,-1.93076738,1.00137094791242,9470.38361278282,0.474949899799599,499,1.21691215,1.051658775,1.41095807
"ul:bedroom",41,-0.00459574655,-0.241802837,0.2299605005,1.00150051956737,8670.77385248714,0.296593186372746,499,1.24612585,1.06838229,1.469287885
"ul:bee",42,-1.98711865,-2.25841607,-1.711342585,1.00115659063468,7924.59043854293,0.462925851703407,499,0.904684895,0.7855046325,1.03389068
"ul:belly button",43,-1.99020745,-2.2533541,-1.732604985,1.00118890270964,8068.92945321541,0.462925851703407,499,0.96498807,0.837498044,1.11042343
"ul:bib",44,-1.08838315,-1.371548795,-0.8010606435,1.00125325245,8383.62106646043,0.38877755511022,499,0.880822145,0.7627651465,1.014088065
"ul:bicycle",45,-1.3217823,-1.58207884,-1.06103879,1.00161305461011,8525.71885744246,0.406813627254509,499,0.96047319,0.824290231,1.119626835
"ul:big",46,-1.2545425,-1.46692752,-1.039824125,1.00136611101509,9352.80217472558,0.396793587174349,499,1.39730885,1.1745731,1.651826315
"ul:bird",47,-3.48637365,-3.75665421,-3.21064888,1.00149912849693,8876.43794557408,0.591182364729459,499,0.86829147,0.7556702465,0.996159152
"ul:bite",48,-1.24129965,-1.49187046,-0.987946425,1.00287216940357,9288.75916286477,0.398797595190381,499,1.06317205,0.9233279085,1.224816915
"ul:blanket",49,-2.45393305,-2.717300395,-2.187465465,1.00235505111824,10290.0918587985,0.503006012024048,499,0.932122565,0.814534942,1.067793325
"ul:blocks",50,-1.7872264,-2.061579915,-1.512721625,1.00159207882888,8066.09207502722,0.44689378757515,499,0.89463945,0.779955139,1.026427315
"ul:blow",51,-0.739717225,-0.987988473,-0.4832550785,1.00012712395774,7661.18492384314,0.356713426853707,499,1.1044497,0.950311234,1.282327275
"ul:blue",52,-1.30493925,-1.55985605,-1.03180187,1.00085818746485,11154.1310227766,0.404809619238477,499,0.96561511,0.8359648565,1.108911285
"ul:book",53,-4.42756485,-4.675458585,-4.17678754,1.00040372771017,9492.43496799114,0.673346693386774,499,1.04552705,0.889272664,1.21878558
"ul:boots",54,-0.86063158,-1.15051038,-0.5660672005,1.00255555644951,9139.69459354251,0.370741482965932,499,0.873018665,0.755687207,1.00408609
"ul:bottle",55,-2.62630345,-2.97376147,-2.284185205,1.00182669906005,8929.03367709246,0.519038076152305,499,0.59816754,0.519968399,0.681498025
"ul:bowl",56,-1.18954755,-1.456667005,-0.927348749,1.00074605914701,8562.37477039004,0.394789579158317,499,1.03508,0.8929264175,1.19405129
"ul:box",57,-1.2583876,-1.47942079,-1.02016732,1.00184790176064,10413.5932923569,0.398797595190381,499,1.18909445,1.02268122,1.3819836
"ul:boy",58,-0.835060335,-1.08173379,-0.584806574,1.00073339608904,7996.54183342288,0.364729458917836,499,1.0918075,0.9444604785,1.26615002
"ul:bread",59,-1.58082015,-1.812196195,-1.336682975,1.00060047729457,8502.3581390457,0.42685370741483,499,1.07952465,0.928880999,1.2436872
"ul:break",60,-0.0711327565,-0.312643941,0.179847848,1.00132991245157,10498.8189414694,0.302605210420842,499,1.18009365,1.0093844,1.378803695
"ul:breakfast",61,-0.37188975,-0.6422839085,-0.104319571,1.00191250653114,8713.77947860872,0.328657314629259,499,1.03838645,0.891546987,1.20668652
"ul:bring",62,0.847629285,0.5756829295,1.138191745,1.00338294464867,6903.37244782409,0.238476953907816,499,1.0342677,0.8849305935,1.207024615
"ul:broken",63,-0.769923775,-0.9961584755,-0.5365060905,1.00309357150929,7545.43476951193,0.356713426853707,499,1.30234215,1.106791975,1.533386025
"ul:broom",64,-0.784944815,-1.03118355,-0.518812938,1.00027386012743,7339.51066437374,0.360721442885772,499,1.0880787,0.933592604,1.262914055
"ul:brother",65,1.0035035,0.595128158,1.456432735,1.00127332532595,6156.83237247996,0.258517034068136,499,0.53297869,0.4622026885,0.611071414
"ul:brush (object)",66,-1.5442353,-1.77454506,-1.313449305,1.00237648019568,9058.93818482377,0.422845691382766,499,1.216773,1.04470121,1.419109145
"ul:bubbles",67,-3.5539576,-3.840655265,-3.27380876,1.00544696409782,9643.895297378,0.597194388777555,499,0.853148985,0.7382524315,0.979382811
"ul:bug",68,-1.8029009,-2.077938205,-1.516552455,1.00103348877781,7727.50483053357,0.448897795591182,499,0.81465849,0.710637214,0.92814975
"ul:bump",69,0.338931795,0.045636215,0.6530903055,1.00210100290989,7719.40102188638,0.280561122244489,499,0.84515024,0.7260445175,0.9730642505
"ul:bunny",70,-2.34326285,-2.605037195,-2.07777063,0.999430964795467,9653.36214523118,0.492985971943888,499,0.97094896,0.838019591,1.11274674
"ul:bus",71,-1.75304435,-2.031581425,-1.472007265,1.00316918959258,8919.46582464314,0.444889779559118,499,0.822789395,0.717327309,0.9409355835
"ul:butter",72,-0.281781725,-0.554508599,-0.00944614194000017,1.00111616326217,8035.09172912004,0.322645290581162,499,0.983890815,0.841350531,1.13920045
"ul:butterfly",73,-0.973896795,-1.225961125,-0.7228410185,1.00220973577313,10333.1170162668,0.376753507014028,499,1.0639804,0.9133415845,1.239097245
"ul:button",74,-1.3209544,-1.58538844,-1.04219776,0.999753618148103,10799.0144253823,0.406813627254509,499,0.950543495,0.82215619,1.097386095
"ul:bye",75,-5.8588298,-6.23332856,-5.525670195,1.00158430277693,6903.32777235766,0.773547094188377,499,0.761927705,0.6504760425,0.887186006
"ul:cake",76,-1.314783,-1.54040547,-1.080956,1.00176679749005,9888.63685701907,0.402805611222445,499,1.25167885,1.071932145,1.455317655
"ul:candy",77,-1.19244905,-1.460226195,-0.9181895645,1.00087623575376,8123.83807784367,0.396793587174349,499,0.930035935,0.8086487255,1.06907339
"ul:car",78,-3.7672677,-4.04427366,-3.496486765,1.00196628640361,9628.94834436419,0.615230460921844,499,0.88555695,0.767663861,1.01984345
"ul:careful",79,0.216282205,-0.02119714865,0.464092942999999,0.999728312934206,8378.08279919923,0.280561122244489,499,1.21344565,1.031620795,1.430847875
"ul:carrot",80,-0.734802575,-0.9450367195,-0.519403179,0.999586444645754,9219.51233765653,0.352705410821643,499,1.475551,1.24550442,1.738598215
"ul:cat",81,-3.3418642,-3.65048492,-3.025365005,1.00157028674183,8433.58732861218,0.577154308617234,499,0.686752975,0.5986680015,0.7862221085
"ul:cereal",82,-1.413658,-1.67700726,-1.15532261,1.00072069818438,9923.05378241676,0.414829659318637,499,0.935582235,0.809827168,1.075597055
"ul:chair",83,-2.1767719,-2.397228195,-1.95468837,1.00109069758367,8502.41683745194,0.476953907815631,499,1.24326435,1.062738055,1.448505765
"ul:cheek",84,-0.749855745,-0.9973950595,-0.490326407,1.00174361142344,8408.53193761093,0.35871743486974,499,1.0225321,0.882793538,1.18787622
"ul:cheerios",85,-1.18518185,-1.471690495,-0.8999694615,1.00082284286396,8306.2802682138,0.398797595190381,499,0.81940844,0.710623929,0.9351741115
"ul:cheese",86,-3.2338861,-3.51462107,-2.950228985,1.003221233208,9480.29937070731,0.569138276553106,499,0.773058575,0.673488567,0.881507784
"ul:chicken (animal)",87,-1.1949993,-1.43061227,-0.9406951235,1.00113232775409,8760.16753281037,0.394789579158317,499,1.04214835,0.9017332115,1.198477255
"ul:chicken (food)",88,-1.12725225,-1.372940625,-0.869315218,1.00434509497562,8658.92262757222,0.38877755511022,499,1.08486245,0.932678028,1.263905855
"ul:child",89,3.0835413,2.66825347,3.550912075,0.999685808421837,6665.30498909565,0.122244488977956,499,0.744744575,0.6276020955,0.877293674
"ul:child's own name",90,-2.401788,-2.67458063,-2.136463195,1.00229875492248,10238.8706931139,0.498997995991984,499,0.89265885,0.772520838,1.024299715
"ul:choo choo",91,-2.58441325,-2.879915835,-2.27012092,1.00261353337784,10430.6221900013,0.51503006012024,499,0.751170165,0.65595709,0.854771676
"ul:church",92,0.526926,0.1985655885,0.876717231,1.00080695051403,8392.6204636656,0.270541082164329,499,0.765452675,0.6636190775,0.8802211405
"ul:clean (action)",93,-0.698843475,-0.928730746,-0.471686995,1.00118928133236,8139.48980895431,0.350701402805611,499,1.35533415,1.15293892,1.591133995
