"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.96858726,-1.142707425,-0.789854857,1.00829086004932,641.979339173209,0.324648254299114,1919
"id:backyard",2,0.638457865,0.4627519045,0.8141398,1.00076545112826,825.849323178894,0.249088066701407,1919
"id:couch",3,-0.45368881,-0.6304707255,-0.278682635,1.0073086856709,872.272388879419,0.300156331422616,1919
"id:her",4,2.47485465,2.31554528,2.633880265,1.00058244095076,1295.73159692373,0.154768108389786,1919
"id:his",5,2.7526717,2.583609765,2.929094885,1.00342819351216,1177.96858927269,0.140698280354351,1919
"id:it",6,0.179588305,0.00609425443,0.3449685555,1.00670217833854,775.047867833409,0.270974465867639,1919
"id:me",7,-1.8976153,-2.05637294,-1.74498551,1.00349229870801,857.017374087203,0.372068785825951,1919
"id:mine",8,-2.28898215,-2.440415245,-2.133486995,1.00448022965142,1005.99723860881,0.395518499218343,1919
"id:my",9,-0.59552517,-0.7778539145,-0.4265952315,1.00408184043863,672.863812162431,0.30745179781136,1919
"id:noodles",10,-0.60389454,-0.78872456,-0.42848312,1.03391808132756,409.77710378113,0.30745179781136,1919
"id:spaghetti",11,-0.50774177,-0.690977517,-0.329577522,1.00752821558912,511.000646368486,0.303282959874935,1919
"id:trash",12,-0.34753896,-0.519765712,-0.1738183,1.02703362773662,404.582943091046,0.295987493486191,1919
"ul:2SG",13,-0.82429182,-0.9916427185,-0.6441450385,1.00234096782933,743.276188031583,0.31735278791037,1919
"ul:2SG.POSS",14,1.8151958,1.657850475,1.98393519,1.00261475430586,1937.27373867748,0.189161021365294,1919
"ul:airplane",15,-2.59982225,-2.736540845,-2.456977165,1.00361755034911,962.910499383388,0.415841584158416,1919
"ul:all",16,0.24263356,0.0580523906,0.418416725,1.00988742795852,646.991969111324,0.268368942157374,1919
"ul:all gone",17,-3.3337807,-3.463396445,-3.205962945,1.00317545515551,1486.40914840735,0.473163105784263,1919
"ul:animal",18,-0.38268366,-0.5541977665,-0.2085804715,1.00245413720936,629.585124400271,0.297029702970297,1919
"ul:another",19,1.52700845,1.357517145,1.6903788,1.00217282871386,1010.57313122124,0.204273058884836,1919
"ul:apple",20,-3.2008687,-3.334045205,-3.067847515,1.00132100530506,905.986047104739,0.462219906201146,1919
"ul:arm",21,-1.42912125,-1.59504159,-1.25592295,1.00685811619942,326.558071662361,0.3470557582074,1919
"ul:asleep",22,-0.10459601,-0.285178015,0.0796413166499999,1.00512778138277,361.274837110125,0.284523189161021,1919
"ul:aunt",23,0.17521367,-0.00651851288,0.3483003675,1.00926586653237,624.141256262302,0.271495570609693,1919
"ul:away",24,0.807257305,0.646589203,0.977970149,1.00129227896443,934.950394977377,0.240750390828557,1919
"ul:baa baa",25,-4.16220765,-4.276970475,-4.043449215,1.00120286067096,1817.92182370979,0.552371026576342,1919
"ul:baby",26,-4.61092875,-4.72495453,-4.49418655,1.00222847555783,2189.64659451449,0.600312662845232,1919
"ul:babysitter",27,3.24390165,3.07012899,3.417071485,1.00060461173758,1813.52031395517,0.117248566961959,1919
"ul:babysitter's name",28,-1.0263622,-1.196745275,-0.8329983645,1.01109124559028,394.602136529288,0.32725377800938,1919
"ul:back (location)",29,0.379325095,0.2057072415,0.554417676,1.0032808887342,773.342089242768,0.261594580510683,1919
"ul:bad",30,-0.206189085,-0.3832286655,-0.0393211454,1.00031547455753,513.737697598321,0.2892131318395,1919
"ul:ball",31,-5.64295395,-5.75653208,-5.53320269,1.00091231491428,3298.32761607678,0.715476810838979,1919
