"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.58068728,-0.780303648,-0.37716352,1.00012195476549,8302.95969823486,0.378912685337727,607
"id:a",2,0.890997525,0.6490438725,1.122139085,1.00067466125393,8380.41506949357,0.240527182866557,607
"id:an",3,3.7228942,3.37702636,4.092176995,1.00058819182183,8039.64808089183,0.0757825370675453,607
"id:backyard",4,1.1497308,0.9220902535,1.39589457,1.00125284060574,8399.67312565108,0.219110378912685,607
"id:couch",5,-0.71712972,-0.9187289675,-0.5165760425,1.00247772733274,8061.11894117915,0.393739703459638,607
"id:garbage",6,0.87041959,0.6380447115,1.106198235,1.00034974885396,7895.92877743088,0.242174629324547,607
"id:he",7,1.89405685,1.6332835,2.15059825,1.00252635563527,8481.69292490401,0.166392092257002,607
"id:her",8,2.5310385,2.247181035,2.825286905,1.00087884497578,7922.91874380161,0.128500823723229,607
"id:hers",9,3.06319235,2.75673063,3.377620125,1.00125999165403,7961.03880635557,0.102141680395387,607
"id:him",10,2.622705,2.3323309,2.919168705,1.00174352014875,8247.90943212122,0.123558484349259,607
"id:his",11,2.68753865,2.399223805,2.987357385,0.999835584062854,7608.09240945404,0.120263591433278,607
"id:it",12,0.692927685,0.4734976285,0.925153966,1.00162818401356,7666.97717392838,0.257001647446458,607
"id:me",13,-1.45578085,-1.662010365,-1.24394984,1.00147137421466,7449.68040092716,0.474464579901153,607
"id:mine",14,-2.26611975,-2.465364535,-2.06522174,1.00080982768578,8912.47709957738,0.5667215815486,607
"id:my",15,-0.35650987,-0.560371193,-0.139612854,1.00120724986392,9976.75429039537,0.355848434925865,607
"id:noodles",16,-0.68619634,-0.897685163,-0.479149658,1.00102335194705,8987.00506885067,0.390444810543657,607
"id:she",17,1.86420075,1.61604329,2.12917734,1.00123433915029,7525.29747510976,0.168039538714992,607
"id:sofa",18,2.3811769,2.10842738,2.67385532,1.00100876699189,6636.82879849688,0.13673805601318,607
"id:spaghetti",19,0.0973170535,-0.1201245255,0.315509362,0.999808988175104,6723.76324342996,0.311367380560132,607
"id:them",20,3.06329585,2.74994664,3.38868095,1.00143085112739,8767.33891595732,0.102141680395387,607
"id:they",21,2.95531955,2.662777845,3.26780674,1.00017804061202,7466.02493092367,0.107084019769357,607
"id:trash",22,-1.1883057,-1.39095202,-0.9856829285,1.00150962854472,8373.30087573136,0.444810543657331,607
"id:us",23,3.49632875,3.166281345,3.83989744,1.000567854104,8578.81110615626,0.0840197693574959,607
"id:we",24,2.5885271,2.304436705,2.88348814,1.00124416114481,6968.03436644734,0.125205930807249,607
"id:yard",25,1.32824025,1.08403185,1.57563566,1.00462595353393,10485.1857817096,0.205930807248764,607
"ul:1PL.POSS",26,3.0689837,2.757263425,3.382740195,1.00121439924812,7540.53910114354,0.102141680395387,607
"ul:1SG.REFL",27,2.2873329,2.011153,2.588133055,1.00093796647279,7891.02225579513,0.14168039538715,607
"ul:2SG",28,-0.597127685,-0.8036637025,-0.386789486,1.00160182362497,7767.6042088008,0.380560131795717,607
"ul:2SG.POSS",29,1.9914533,1.718747535,2.274199595,1.00082696770465,8134.78312580109,0.159802306425041,607
"ul:2SG.REFL",30,3.76994515,3.42362626,4.122093875,1.00245674148622,7466.67212971765,0.0741350906095552,607
"ul:3PL.POSS",31,3.54708455,3.20963653,3.886367455,1.00150832214705,8291.625830671,0.0823723228995058,607
"ul:a lot",32,1.89160645,1.636192275,2.15473422,1.00136664794198,8611.77288338726,0.166392092257002,607
"ul:about",33,4.23612955,3.85764509,4.63739879,1.0039264856062,7722.0990265825,0.0593080724876442,607
"ul:above",34,3.3728333,3.051357995,3.699081535,1.00121900411365,8076.57535688389,0.0889621087314662,607
"ul:after",35,2.09509545,1.8338518,2.366830685,1.00141408699799,9521.76848881294,0.153212520593081,607
"ul:airplane",36,-2.06643895,-2.25934375,-1.87218339,1.00215541705046,9659.73933067131,0.543657331136738,607
"ul:all",37,0.76782362,0.5479525255,1.001121815,1.00176560553866,7077.30405229291,0.250411861614498,607
"ul:all gone",38,-2.68521055,-2.894044395,-2.482736965,1.00065370735725,9537.94149291131,0.614497528830313,607
"ul:alligator",39,-0.0238979195,-0.2432355425,0.192769823,0.99975968367872,7916.65917759717,0.322899505766063,607
"ul:am",40,2.10083605,1.82773703,2.381782485,1.00015640139888,6749.19741116076,0.153212520593081,607
"ul:and",41,1.2618537,1.021528835,1.51265138,1.00290584268367,9041.46811127712,0.210873146622735,607
"ul:animal",42,-0.90638609,-1.110803085,-0.703674161,1.00108992562188,8160.99369157557,0.413509060955519,607
"ul:ankle",43,2.4683084,2.19123823,2.760056645,0.999668528018092,9073.03769559207,0.131795716639209,607
"ul:another",44,1.89007435,1.636062,2.15727291,1.00050199075248,8957.77197483416,0.166392092257002,607
"ul:ant",45,-0.0268035615,-0.229711285,0.184520458,1.00021425893144,8014.55930867415,0.322899505766063,607
"ul:any",46,2.85343875,2.547642575,3.172292135,1.00011513424343,8199.27679268329,0.112026359143328,607
"ul:apple",47,-3.66097975,-3.87736155,-3.44651561,1.00039416285688,9293.32250631907,0.71993410214168,607
"ul:applesauce",48,-0.51548556,-0.7186743935,-0.3127511525,1.00110686087139,7043.25115409356,0.372322899505766,607
"ul:are",49,2.43669025,2.159098025,2.72092843,1.00339146507635,8876.99263581493,0.133443163097199,607
"ul:arm",50,-1.4384246,-1.622248785,-1.251241055,0.999589950984653,7999.24073133385,0.472817133443163,607
"ul:around",51,2.6905448,2.39197883,2.984460685,0.999670396631345,10049.9996904097,0.120263591433278,607
"ul:asleep",52,-0.18876696,-0.399787048,0.0207732238999997,1.00258422203114,6675.94884608133,0.339373970345964,607
"ul:at",53,1.9685137,1.70408879,2.241693765,1.00125823623906,8261.59301348496,0.161449752883031,607
"ul:aunt",54,0.520215745,0.295790807,0.7547616085,1.00135464783648,7437.45880806205,0.271828665568369,607
"ul:awake",55,0.23227045,0.0210798554,0.4501041485,1.00363201817869,8018.69715164259,0.298187808896211,607
"ul:away",56,1.1774383,0.9440724875,1.41928505,1.00289556063648,8043.45820185261,0.217462932454695,607
"ul:baa baa",57,-3.70997295,-3.919099515,-3.4969651,1.00033220801243,12185.2077649271,0.724876441515651,607
"ul:baby",58,-4.37858025,-4.60820795,-4.161059785,1.00023278042437,10115.4329478662,0.789126853377265,607
"ul:babysitter",59,3.5030167,3.159293025,3.836004445,1.0022213690769,8078.10400322319,0.0840197693574959,607
"ul:babysitter's name",60,-0.14260199,-0.354588789,0.06370737255,1.00041798034737,7169.58243832954,0.334431630971993,607
"ul:back (location)",61,0.581953455,0.3636363205,0.803247728,0.999777397548949,7639.47646688464,0.266886326194399,607
"ul:bad",62,0.75146233,0.5294410495,0.9812343175,1.00550106837597,6408.80877699532,0.252059308072488,607
"ul:ball",63,-6.53246905,-6.8600568,-6.21983358,1.00074101437297,11703.434511389,0.934102141680395,607
"ul:balloon",64,-3.02413305,-3.23628366,-2.82322696,1.0013018277464,9082.11815846426,0.652388797364086,607
"ul:banana",65,-4.5314779,-4.74967302,-4.31214214,1.0016018239273,9952.45208344618,0.802306425041186,607
"ul:basement",66,2.29694575,2.02123521,2.565446695,1.00005575678389,7670.22307208761,0.14168039538715,607
"ul:basket",67,0.1478631,-0.0643101676,0.363650096,1.00005283573066,8180.03255014628,0.306425041186161,607
"ul:bat (object)",68,0.59820446,0.3761629915,0.819694043,1.0010431774417,7298.1688197735,0.265238879736409,607
"ul:bath",69,-3.6738538,-3.883765665,-3.466504215,1.00006849036979,9651.12244831298,0.72158154859967,607
"ul:bathroom",70,-0.59595763,-0.7996645505,-0.3852472875,1.00381904991814,7747.39462067525,0.380560131795717,607
"ul:bathtub",71,-1.1891334,-1.380352335,-0.986607722,1.00069698874414,8921.58038562771,0.444810543657331,607
"ul:be",72,2.74946055,2.45056023,3.061750465,0.999801728999108,8171.64273786281,0.116968698517298,607
"ul:beach",73,0.95003247,0.724277779,1.19005693,0.999942009148637,7410.6157325925,0.235584843492586,607
"ul:beads",74,1.15006025,0.91248912,1.402329855,1.0009009443184,8528.60512273952,0.219110378912685,607
"ul:beans",75,-0.14762561,-0.3534150005,0.0648959977499998,1.00140866427423,5768.99114195149,0.334431630971993,607
"ul:bear",76,-2.81766375,-3.02023222,-2.61583894,1.00102645765175,8940.54813077449,0.629324546952224,607
"ul:because",77,2.9205961,2.63402844,3.231445145,1.00050293871049,7657.63948145654,0.108731466227348,607
"ul:bed",78,-2.48225095,-2.68104078,-2.28314268,1.00074175566363,8340.21870071453,0.591433278418451,607
"ul:bedroom",79,0.267590375,0.066383563,0.478000901,1.00260453692296,6955.91409747033,0.294892915980231,607
"ul:bee",80,-2.36615975,-2.56949109,-2.161068075,0.999457611717162,9174.2779983233,0.57825370675453,607
"ul:before",81,2.96092605,2.659636075,3.278232095,1.00056550038541,7203.56744817387,0.107084019769357,607
"ul:behind",82,1.74208515,1.49787859,2.00267273,1.00143624728565,10865.0308301547,0.176276771004942,607
"ul:belly button",83,-2.4344769,-2.63266548,-2.24723851,1.00027909025264,8551.07638605274,0.586490939044481,607
"ul:belt",84,1.19734375,0.95496748,1.441024265,1.0022860352065,7464.74528212588,0.215815485996705,607
"ul:bench",85,2.01985475,1.763389595,2.28977301,1.00104398833989,8111.40818074005,0.158154859967051,607
"ul:beside",86,3.3326702,2.995825225,3.67590185,1.00040988555068,9258.55893418845,0.0906095551894563,607
