"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:あそこ",1,1.79467935,1.149715305,2.512589065,1.00076776189918,4930.18595137251,0.0657439446366782,289
"id:あっ",2,-2.74245705,-3.116816145,-2.3549899,1.00055872042703,5768.95698692837,0.242214532871972,289
"id:あった（見つけた時に）",3,-3.7858231,-4.093931675,-3.46836385,1.0002718152164,6715.33088326159,0.328719723183391,289
"id:あっち",4,-2.0553812,-2.44753703,-1.65208304,1.00075750436839,6077.6724307273,0.197231833910035,289
"id:あのね",5,2.1522912,1.46415016,2.889600385,1.00045238343283,5499.93902722718,0.0588235294117647,289
"id:あれ",6,0.00207311225,-0.5434263675,0.5441527265,1.00076931936743,5406.5260296577,0.110726643598616,289
"id:あれっ・あら",7,-0.233006,-0.7537674485,0.3199334225,1.00097340916193,4733.19548685859,0.117647058823529,289
"id:いい",8,0.468176625,-0.113277104,1.070726745,0.999890951839583,5332.10528976857,0.0968858131487889,289
"id:いただきます",9,-1.93683755,-2.340058665,-1.523095575,0.999747208019978,6050.87312507886,0.190311418685121,289
"id:いってらっしゃい",10,-1.1592653,-1.62071456,-0.674075932500001,1.0035106883461,4884.83643699909,0.152249134948097,289
"id:いや",11,-2.7067339,-3.0634039,-2.32648728,1.0010338482712,6740.21010943283,0.238754325259516,289
"id:いる（居る）",12,-0.42891161,-0.9358449935,0.100442111,1.00142746108636,4446.66388590446,0.124567474048443,289
"id:ううん（打ち消し）",13,0.111520915,-0.451061172,0.6996931075,1.00029208108925,5002.32794409481,0.107266435986159,289
"id:うどん",14,-1.2369157,-1.67639482,-0.7718180515,1.00262571323253,5164.66248442558,0.155709342560554,289
"id:うん（返事として）",15,-2.93078475,-3.29601818,-2.57544924,1.00128310864366,6959.18081245571,0.256055363321799,289
"id:えっと・ええと",16,0.74608655,0.1499122625,1.36250363,1.00003144377327,5555.09582939844,0.0899653979238754,289
"id:おいで",17,-0.902910505,-1.376681185,-0.4194517685,1.00078717042212,5099.11628011999,0.141868512110727,289
"id:おうち",18,-0.524087225,-1.03382984,0.0135878206999997,1.00162921869623,4653.50227647414,0.1280276816609,289
"id:おこる（怒る）",19,1.9718068,1.27843137,2.70040595,1.00000717082378,5330.55992116572,0.0622837370242214,289
"id:おしまい",20,-0.813167155,-1.286548465,-0.3095661895,1.00033631037295,4727.55373724264,0.13840830449827,289
"id:おそと",21,0.103665455,-0.4206124185,0.6564403565,0.999479156464377,4632.14073515122,0.107266435986159,289
"id:おちる（落ちる）",22,-0.99644525,-1.44864495,-0.487945381000001,1.00110108457637,5633.48504979489,0.145328719723183,289
"id:おてて（お手々）",23,-2.0560035,-2.449927495,-1.642811585,1.00017815276024,5463.47996516425,0.197231833910035,289
