"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs","lambda","lambda_q5","lambda_q95"
"id:あそこ",1,1.91926035,1.241240845,2.7222407,0.999993434427681,4649.94310666465,0.0657439446366782,289,0.97788849,0.72342887,1.31814954
"id:あっ",2,-1.8904223,-2.63379664,-0.986939303000001,1.00086188608804,3764.49941289546,0.242214532871972,289,0.40007956,0.325874777,0.491781755
"id:あった（見つけた時に）",3,-4.32480435,-4.70016738,-3.88114784,0.99988587555071,6491.74187000595,0.328719723183391,289,0.889155735,0.7099746125,1.09694374
"id:あっち",4,-2.15820955,-2.66524693,-1.586989355,1.00067144078666,4950.1853534,0.197231833910035,289,0.839713585,0.66933331,1.04659743
"id:あのね",5,2.3120172,1.59058216,3.15572215,0.999828729759295,4839.70292230396,0.0588235294117647,289,0.95254442,0.7046382535,1.312768985
"id:あれ",6,0.14369784,-0.4854315445,0.897503088,1.00054979069106,4368.20535972245,0.110726643598616,289,0.8211315,0.642056805,1.049896795
"id:あれっ・あら",7,0.11556655,-0.5580390275,0.921306576999999,1.0004918825564,4464.5280167125,0.117647058823529,289,0.69810985,0.554598225,0.878450153
"id:いい",8,0.37707129,-0.1756878055,1.00128711,0.999896760068703,4845.63342390849,0.0968858131487889,289,1.19087985,0.8781937345,1.602248025
"id:いただきます",9,-1.77808825,-2.3289258,-1.10762248,1.00129558711705,4562.72395373789,0.190311418685121,289,0.68988947,0.5541986305,0.8502692485
"id:いってらっしゃい",10,-0.97028031,-1.598747345,-0.2798674655,1.00140875057001,4686.93778850681,0.152249134948097,289,0.744622565,0.593189771,0.9311606635
"id:いや",11,-2.3188122,-2.95793244,-1.590196305,1.00101635508408,3578.05087183109,0.238754325259516,289,0.52191878,0.418603848,0.639421731
"id:いる（居る）",12,-0.34765057,-0.957574844,0.3981169645,1.00083116528588,4685.60285281913,0.124567474048443,289,0.8503577,0.662573085,1.08640755
"id:ううん（打ち消し）",13,1.24408605,0.365969156,2.340087775,1.00021410671189,4140.5981467966,0.107266435986159,289,0.47119957,0.382647047,0.5799050465
"id:うどん",14,-1.3716684,-1.87055407,-0.780261122000001,0.999688603006258,4814.30825664485,0.155709342560554,289,0.98644944,0.7721065465,1.256027005
"id:うん（返事として）",15,-2.4780617,-3.155401285,-1.691841845,1.00084658054212,4446.13748201788,0.256055363321799,289,0.47037956,0.383468369,0.571049819
"id:えっと・ええと",16,0.827998195,0.170365023,1.549079695,1.00123556626613,4538.6851930878,0.0899653979238754,289,0.930088815,0.708032635,1.24249008
"id:おいで",17,-1.01542795,-1.526032195,-0.4206302975,1.00171181519773,4669.51545757135,0.141868512110727,289,1.00062365,0.7721487515,1.28795847
"id:おうち",18,-0.707633415,-1.23029732,-0.1186639605,1.00143196532095,4748.23764142588,0.1280276816609,289,1.14504195,0.854184406,1.51097681
"id:おこる（怒る）",19,1.9797866,1.335886895,2.745457535,0.999906770534821,5172.45104717177,0.0622837370242214,289,1.220991,0.868854806,1.78592866
"id:おしまい",20,-1.01076785,-1.52245915,-0.431816219,1.00255948906624,4973.51090431528,0.13840830449827,289,1.11241345,0.852639001,1.45406097
"id:おそと",21,0.042673103,-0.5420737105,0.699514918,1.00137700984049,5298.36995348971,0.107266435986159,289,1.0630659,0.8012632235,1.39897761
"id:おちる（落ちる）",22,-0.784232925,-1.40001317,-0.0865882328500001,1.00072648502646,3894.98897509525,0.145328719723183,289,0.742320635,0.58621407,0.9216049665
"id:おてて（お手々）",23,-2.3104503,-2.74769601,-1.80338452,0.999722792640814,4942.84681588455,0.197231833910035,289,0.99211887,0.78403606,1.246183095
"id:おにぎり・おむすび",24,-0.672501275,-1.208773405,-0.0610270208,1.0001572139253,4831.21254528502,0.1280276816609,289,1.071083,0.815611355,1.402846705
"id:おふろ（入浴）",25,-0.57425006,-1.07112216,-0.0160476784000001,1.0017152550822,4993.36018976766,0.121107266435986,289,1.30650905,0.970931803,1.77105893
"id:おふろ（風呂場）",26,-0.464440245,-0.9445967145,0.0895860266499998,0.999665926386754,5324.9638423218,0.117647058823529,289,1.31487775,0.981087261,1.77594044
"id:おんぶ",27,-0.016201985,-0.5737788735,0.6056532215,1.00131878507031,4137.62014278485,0.107266435986159,289,1.1643579,0.870552646,1.5446836
"id:お店",28,1.4200045,0.8643842005,2.06598754,1.00142170991556,4887.56694854267,0.0726643598615917,289,1.3306897,0.92966916,1.91665071
"id:お母さん",29,-0.970985245,-1.745911365,-0.0659462159500006,0.999842522064126,4033.64186583592,0.186851211072664,289,0.45906813,0.370626192,0.561641802
"id:お父さん",30,-0.69113887,-1.475571895,0.2443705645,1.00056378545151,3708.40511117365,0.169550173010381,289,0.489589785,0.394253156,0.6002698825
"id:かえる（帰る）",31,-0.65490569,-1.093726105,-0.153060125,0.99974282893082,5144.93369703953,0.121107266435986,289,1.5394131,1.106467975,2.105177505
"id:きょうだいの名前",32,1.37143,0.2965750975,2.66485243,1.00029671242864,4465.9291602502,0.1280276816609,289,0.356875475,0.2902830665,0.4355338345
"id:きれいきれい",33,-0.588612895,-1.15564822,0.0469549176499999,1.0009393614757,4423.24382770372,0.1280276816609,289,0.972820605,0.7521066925,1.26690869
"id:くつ下",34,-2.2846779,-2.741368705,-1.760219375,1.00116855279402,4621.88648184849,0.197231833910035,289,0.962552735,0.756892314,1.214719735
"id:ぐるぐる",35,-0.87242319,-1.434138955,-0.2485333905,0.999976213386682,3684.89574489538,0.13840830449827,289,0.947532195,0.738599389,1.211138005
"id:ここ",36,-0.59985149,-1.23298967,0.152075078999999,1.00153315687647,4443.9713233855,0.13840830449827,289,0.74221257,0.587469382,0.9345457215
"id:こっち",37,-1.34169605,-1.839288625,-0.742787765,1.00029776217585,4391.79764617629,0.152249134948097,289,1.037101,0.8025788025,1.341568615
"id:これ",38,-1.81875165,-2.35149606,-1.212478535,1.00133008790617,4654.6612458976,0.183391003460208,289,0.79982936,0.637344964,0.99999757
"id:ころぶ",39,0.97338193,0.384616909,1.64194732,0.999607328727616,4853.92202888206,0.0830449826989619,289,1.1614376,0.8529782995,1.60844437
"id:こんど",40,1.211025,0.6807512745,1.785111465,1.00087842861833,4441.95417616927,0.0761245674740484,289,1.4954874,1.020056485,2.271295645
"id:こんにちは",41,-0.054364586,-0.623404574,0.585959216,1.00185157003241,4797.75205456894,0.110726643598616,289,1.0102218,0.773864802,1.30570926
"id:ごちそうさま",42,-2.20449815,-2.69133953,-1.666267585,1.00036035852426,4785.29916259085,0.197231833910035,289,0.88136223,0.6970279545,1.10797335
"id:ごっつん",43,-0.356772545,-0.9327076995,0.291264468,1.00080590313264,4468.73486363178,0.121107266435986,289,0.950055855,0.735670554,1.224037875
"id:さっき",44,1.89644235,1.37505442,2.54381687,1.00036843695003,4632.13457027539,0.0622837370242214,289,1.55343045,1.032090005,2.476913215
"id:しまう",45,0.964011005,0.3859833435,1.60822187,1.00255806771893,5155.63295876415,0.0830449826989619,289,1.1851532,0.8723901215,1.64491295
"id:じょうず",46,-0.109036365,-0.6734606895,0.570032218,1.00002193906197,4367.62343933055,0.114186851211073,289,0.928499995,0.717391674,1.21197562
"id:する",47,0.331731,-0.270946256,1.01464395,1.00002593947281,4174.2884050329,0.100346020761246,289,1.0072163,0.774876305,1.31811035
"id:そうそう",48,2.8539973,2.172530615,3.615182115,1.00131964060573,4846.47544788154,0.0484429065743945,289,1.25499045,0.862987513,1.8481103
"id:そこ",49,1.28618595,0.672174119,1.937812505,1.00272449013439,5625.25007930905,0.0761245674740484,289,1.20120575,0.862639741,1.676156315
"id:そっち",50,0.939449335,0.3856472925,1.581464405,1.0005300179973,4782.23450464555,0.0830449826989619,289,1.24199595,0.8832190195,1.752350015
"id:だっこ",51,-2.8281519,-3.27542275,-2.312914725,0.999731811290516,5198.02954310963,0.231833910034602,289,0.853095225,0.6812998805,1.0570091
"id:ちゃんこ（おすわり）",52,3.30512885,2.30223841,4.54408003,1.00129774625629,4833.27868970099,0.055363321799308,289,0.5172571,0.407991834,0.658462504
"id:できる（出来る）",53,-0.106136205,-0.748628028,0.636469404,1.00057755391213,4560.06926908086,0.121107266435986,289,0.75887861,0.604125601,0.9611877875
"id:どうぞ",54,-3.53446615,-4.019342965,-2.974607825,1.00211000598962,6401.42440340655,0.28719723183391,289,0.690817325,0.557248802,0.8503000845
"id:どっち",55,1.33132355,0.6931721765,2.03812854,1.00112220695956,4880.50647136212,0.0761245674740484,289,1.1147942,0.806373712,1.53426625
"id:どれ",56,1.55514405,0.8678011525,2.32125873,1.0009820268402,4798.47625159566,0.0726643598615917,289,1.0059685,0.7395643305,1.37917315
