"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:akebrett",1,-0.0566590385,-0.1290730105,0.0166554458999999,1.00082984737232,7088.00863972103,0.448088779284834,4055
"id:at",2,3.02450325,2.922019845,3.12549002,1.00056057062294,5827.79152346752,0.157829839704069,4055
"id:badebasseng",3,1.22648065,1.145395925,1.309344045,1.00088024710821,8247.48593678279,0.309741060419235,4055
"id:bak",4,-0.024038142,-0.1002577965,0.0534905454,1.00089837144223,7370.04393007741,0.380503144654088,4770
"id:bestefar",5,-0.98693111,-1.06453896,-0.907164069,1.00042581038213,7101.52709278137,0.476939203354298,4770
"id:bestemor",6,-0.812007345,-0.8858877375,-0.7383830455,1.00067970711958,7303.76651171467,0.459329140461216,4770
"id:bli",7,1.42447225,1.33924576,1.506887385,1.0016036141583,8524.83275239451,0.290258939580764,4055
"id:blyant",8,0.428194805,0.3499074205,0.5032803275,1.0014943676947,8919.28137792968,0.394081381011097,4055
"id:boks",9,-0.3340209,-0.4112263445,-0.255435387,1.00043635078355,6996.50495505552,0.479654747225647,4055
"id:bort",10,0.41325067,0.3382817545,0.4901845355,1.00401456145065,8334.05263985134,0.338155136268344,4770
"id:borte",11,-2.46693685,-2.54618269,-2.387656675,1.00168829826065,5640.94866334563,0.716152897657213,4055
"id:bra",12,-0.18192203,-0.257951851,-0.1060080305,1.00253080875994,7925.78548616114,0.39601677148847,4770
"id:burde",13,6.06714095,5.88895295,6.255320055,1.00043263273389,7506.80222869178,0.0330456226880395,4055
"id:bør",14,6.0925423,5.90897715,6.291427645,1.00514874828055,6884.82778920266,0.0325524044389642,4055
"id:de",15,2.1997441,2.109643215,2.29312397,1.0007541962605,6084.18999352515,0.219975339087546,4055
"id:deg",16,0.65124197,0.5717087345,0.7309940825,1.00161859869375,8265.33859941052,0.369667077681874,4055
"id:dem",17,3.1897298,3.08825699,3.2932107,1.00024313979766,6375.33299715334,0.146979038224414,4055
"id:den",18,-2.19761295,-2.27770818,-2.12189053,1.00225762342391,5742.22048344687,0.59769392033543,4770
"id:denne",19,-0.476777125,-0.550387623,-0.4025247445,1.00167493546608,7612.67661253723,0.425576519916143,4770
"id:det",20,-0.33753302,-0.410221675,-0.263240654,1.00135497548296,7032.78452447984,0.411530398322851,4770
"id:dette",21,1.72680085,1.641413775,1.813310385,1.00054889833215,7119.1414738129,0.223060796645702,4770
"id:du",22,-0.102358155,-0.178554726,-0.02780480155,1.00390511198497,7767.46958441877,0.388259958071279,4770
"id:dyne",23,-1.84919165,-1.92551627,-1.77481503,1.00021773680054,5869.10789518502,0.563522012578616,4770
"id:dårlig",24,2.0611186,1.96817962,2.15121462,1.00033998668197,6818.51320309783,0.231812577065351,4055
"id:ei",25,3.8468822,3.73651018,3.959473255,1.00048851028655,5666.09107479911,0.108754623921085,4055
"id:elske",26,2.41795885,2.327178295,2.51054419,1.00038165077342,5934.31349721622,0.172327044025157,4770
"id:en",27,0.62054704,0.5425479515,0.701553429,0.999743104662182,8149.94154082991,0.372872996300863,4055
"id:eske",28,0.537356525,0.460474075,0.612193581,1.00388306840478,8150.82253698737,0.326415094339623,4770
"id:etter",29,1.9402657,1.854219535,2.0236377,1.00005597482909,6618.44826814805,0.242416769420469,4055
"id:etterpå",30,-0.234107485,-0.313537382,-0.1547565235,1.00218925981448,7963.51336516384,0.468310727496917,4055
"id:farfar",31,0.19320445,0.1183261645,0.270475417,1.00242843531238,8235.67819636535,0.359329140461216,4770
"id:fargeblyant",32,1.662847,1.577541195,1.7489013,1.00084811541275,6603.52011021345,0.267570900123305,4055
"id:farmor",33,-0.030355497,-0.108491269,0.04901753585,1.00197039922084,8364.64139775404,0.381132075471698,4770
"id:fat",34,0.72385659,0.642553669,0.802705723,0.999863079168838,7642.44920939643,0.361775585696671,4055
"id:formiddag",35,5.50288785,5.344781305,5.662204705,1.00038238162874,6710.78474348095,0.0458692971639951,4055
"id:forte seg",36,0.75624686,0.676597751,0.8377514465,0.999888160307995,9627.00676088921,0.306079664570231,4770
"id:frekk",37,5.10396475,4.961330815,5.25212684,1.0059926434483,5858.460981817,0.0486373165618449,4770
"id:få",38,-2.1773851,-2.253685735,-2.09806902,1.00081279137654,5484.45816253621,0.59559748427673,4770
"id:gjør",39,1.2239687,1.138525945,1.310812465,1.00053622143483,7872.81132425457,0.309987669543773,4055
"id:gjøre",40,1.23987025,1.162084165,1.320848445,1.00180715429376,6938.60969970893,0.30826140567201,4055
"id:gli",41,1.1736676,1.091197805,1.255312555,1.00192762884901,6752.88450015449,0.315166461159063,4055
"id:god",42,-0.20933305,-0.2825820895,-0.131978738,1.00216190481752,6949.59535416122,0.465351418002466,4055
"id:godteri",43,-0.12959972,-0.2076978185,-0.0534016613000001,1.00249719272185,7783.94018086696,0.456473489519112,4055
"id:gåbil",44,2.3733572,2.282200405,2.46551275,0.999885122398152,6274.04511113673,0.205918618988903,4055
"id:ha",45,-1.87638865,-1.95308914,-1.800328615,0.999975226570485,5628.27720823251,0.654254007398274,4055
"id:ham",46,5.48559505,5.329552585,5.64359783,1.00258222729455,6868.43642244685,0.0463625154130703,4055
"id:han",47,0.73852545,0.658233472,0.819438219,1.00056562227261,7942.19726611995,0.360295930949445,4055
"id:hans",48,2.8138758,2.7180335,2.91037673,1.00223808742171,5293.16322554259,0.146750524109015,4770
"id:har",49,0.84184202,0.7599835345,0.923405699,1.00498326462424,7791.89637880685,0.34944512946979,4055
"id:henne",50,3.29070865,3.19048041,3.393609845,1.00093804074395,5967.72902526852,0.140320591861899,4055
"id:hennes",51,3.22864845,3.122985075,3.33699706,1.0011310923647,5316.26553132487,0.122851153039832,4770
"id:hente",52,-1.05574305,-1.132413225,-0.9798831,1.00229063287291,7025.68700246564,0.484067085953878,4770
"id:her",53,-0.98063572,-1.05641802,-0.9054917795,1.00220825070911,7471.47418140521,0.553884093711467,4055
"id:hit",54,0.5921166,0.5156825415,0.668849692,1.00236115334287,6707.33746705146,0.376078914919852,4055
"id:hjem",55,-1.96940915,-2.051421755,-1.889403815,1.0013015825206,6256.03239427017,0.575471698113208,4770
"id:hjemme",56,-0.26190587,-0.3402692515,-0.1832111305,0.999919576809601,8213.23737512584,0.471516646115906,4055
"id:hos",57,1.81746965,1.728394825,1.90781945,1.00878606579597,7274.60828315905,0.253267570900123,4055
"id:hun",58,1.71802525,1.633101415,1.80378777,1.00078914908842,7590.48281470219,0.262392108508015,4055
"id:hver",59,3.5438972,3.43783201,3.652828615,1.00037738817689,5488.80116634304,0.125277435265105,4055
"id:hvert",60,5.04017405,4.90321812,5.183426175,1.00145752527653,5884.83739174105,0.0591861898890259,4055
"id:hvis",61,4.5448195,4.42095625,4.668852025,1.00061908310989,5713.17655555867,0.0769420468557337,4055
"id:inn",62,-1.24550455,-1.31741368,-1.17389749,1.00270491705707,6251.6518546428,0.50314465408805,4770
"id:inne",63,-0.51016561,-0.584408609,-0.4338618385,1.00043424732222,7390.46665983135,0.428930817610063,4770
"id:inni",64,-0.248805365,-0.324871227,-0.1712016425,1.00035950629808,6851.39396619406,0.40272536687631,4770
"id:jeg",65,-1.0294764,-1.10414179,-0.954919552,1.00209930477018,6306.79317767758,0.481341719077568,4770
"id:juice",66,-2.4336743,-2.509615075,-2.357114905,1.00149613330299,5345.78735822583,0.620125786163522,4770
"id:kasse",67,0.66630621,0.5870078375,0.7429989215,1.00025838248738,9135.39763390366,0.367940813810111,4055
"id:kjeks",68,-2.9969044,-3.077799215,-2.91628907,1.00057418204777,5805.88526302783,0.671907756813417,4770
"id:kjelke",69,1.89665675,1.809132055,1.98882256,1.00131869760676,8328.698194522,0.246115906288533,4055
"id:klosser",70,-0.946186605,-1.01787544,-0.87075614,1.00213060073929,6869.92149397181,0.472955974842767,4770
"id:knekkebrød",71,-0.31912936,-0.3939788325,-0.242245192,0.999966117968457,8086.62282623617,0.477928483353884,4055
"id:kveldsmat",72,0.509745075,0.4325661635,0.5897775435,1.00483439001036,8304.70161419387,0.384956843403206,4055
"id:legge",73,-0.90744645,-0.9830574435,-0.833732824,1.0018014190507,7081.12113005592,0.468972746331237,4770
"id:lego",74,-0.38270047,-0.4589925425,-0.3062727235,1.0002702461503,8261.30774504087,0.485326757090012,4055
"id:leke (action)",75,-1.60069035,-1.67424736,-1.52478459,1.00128298307772,6807.5172116155,0.538784067085954,4770
"id:leverpostei",76,-0.88759144,-0.964731414,-0.811574567,1.00065709592708,7695.88350484832,0.54327990135635,4055
"id:man",77,4.93425015,4.7947635,5.08325753,1.00137889294718,5770.77008319995,0.0626387176325524,4055
"id:med",78,1.07593845,0.9948137235,1.156162635,1.00029535662097,6369.49463474563,0.325030826140567,4055
"id:meg",79,-0.34442941,-0.4210675095,-0.2689971205,1.00139252704224,7481.54766118522,0.412368972746331,4770
