"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.92898801,-1.102733075,-0.7551915885,0.999962494972594,7190.35291964421,0.326656394453005,1947
"id:backyard",2,0.652887055,0.4896635285,0.8160973405,1.00143470503481,7413.19450623472,0.25115562403698,1947
"id:couch",3,-0.41514143,-0.58312587,-0.240092698,1.00089189455826,8231.25345819216,0.302516692347201,1947
"id:her",4,2.45511605,2.29510918,2.61253696,1.00195997895923,7001.43765444607,0.156137647663071,1947
"id:his",5,2.7217961,2.5564385,2.891813025,1.00278776365246,9502.52570298728,0.142270159219312,1947
"id:it",6,0.19097171,0.0199213359,0.3549604515,1.0009746648132,7689.01298329608,0.273754494093477,1947
"id:me",7,-1.8856613,-2.045481265,-1.72738383,1.00011940659522,9524.26759669356,0.375449409347714,1947
"id:mine",8,-2.28719395,-2.43550248,-2.13580654,1.0015479535807,8926.89718874545,0.399075500770416,1947
"id:my",9,-0.58025511,-0.748264288,-0.40761228,1.00100153864829,5435.17861849973,0.310220852593734,1947
"id:noodles",10,-0.612336165,-0.791373933,-0.440364833,0.999588908538706,7221.45094969317,0.311761684643041,1947
"id:spaghetti",11,-0.47064387,-0.6323377565,-0.3114231235,0.999536361294682,8163.52302008525,0.305084745762712,1947
"id:trash",12,-0.342730925,-0.519043174,-0.1660424125,1.0036479956423,7770.51211153345,0.298921417565485,1947
"ul:2SG",13,-0.787825315,-0.961234396,-0.61848188,1.00078869664948,7788.63586136318,0.319979455572676,1947
"ul:2SG.POSS",14,1.8017643,1.638094535,1.966824415,1.00056182358444,7893.45187192454,0.191063174114022,1947
"ul:airplane",15,-2.59414495,-2.734461045,-2.44798458,0.999637708467252,9217.78580525961,0.4185927067283,1947
"ul:all",16,0.263541965,0.0945162536,0.4343156025,1.00114855766559,8075.5877171511,0.270159219311762,1947
"ul:all gone",17,-3.37698995,-3.5075043,-3.241665535,1.00200684490693,7395.85899077468,0.47663071391885,1947
"ul:animal",18,-0.341425085,-0.509800657,-0.170014056,1.0009428425225,7738.23671719674,0.298921417565485,1947
"ul:another",19,1.51178055,1.35432963,1.673906255,1.00195260193388,10863.7782392342,0.206471494607088,1947
"ul:apple",20,-3.23549235,-3.3707613,-3.098455475,1.00085831357597,7720.38325167558,0.465331278890601,1947
"ul:arm",21,-1.4208737,-1.589107755,-1.253064345,1.00254410950734,8803.89036535017,0.350796096558808,1947
"ul:asleep",22,-0.099102725,-0.2670022455,0.07047813475,1.00242512195736,8515.63791899294,0.287621982537237,1947
"ul:aunt",23,0.198232505,0.0353082361,0.3688613725,1.00438320412129,6833.54899805042,0.273240883410375,1947
"ul:away",24,0.791961255,0.629516892,0.9552687865,1.00248699359889,8406.46487920899,0.243965074473549,1947
"ul:baa baa",25,-4.2510139,-4.3777752,-4.129366595,1.00039113050023,6644.36187205752,0.554185927067283,1947
"ul:baby",26,-4.76037995,-4.88128439,-4.63644537,1.00041330079085,5626.10031598801,0.604006163328197,1947
"ul:babysitter",27,3.1867583,3.02287366,3.35676586,1.00230537805123,7686.94365524221,0.119157678479712,1947
"ul:babysitter's name",28,-0.99271038,-1.161188725,-0.825078584,1.00481631996456,9335.96615454873,0.329738058551618,1947
"ul:back (location)",29,0.389053965,0.2277872735,0.560372587,1.00130071003511,7018.89348843016,0.263995891114535,1947
