source,sample_label,language,n_kids,age_range_mo,measure_type,method,tokens_per_hour_mean,tokens_per_hour_sd,log_r_mean,log_r_sd,citation_path,notes
Hart & Risley 1995,All families (pooled),"English (US, KS)",42,7-36,CDS-mother,manual transcript (1-hr monthly visits over 2.5 yr),1439,,7.272,,,"Per Coffey et al. 2024 reading: average across 42 families. Population mean primary-caregiver CDS only."
Hart & Risley 1995,Professional (high SES),"English (US, KS)",13,7-36,CDS-mother,manual transcript (1-hr monthly visits),2153,,7.675,,,"Per Coffey et al. 2024 reading: only one of 13 families was Black."
Hart & Risley 1995,Welfare (low SES),"English (US, KS)",6,7-36,CDS-mother,manual transcript (1-hr monthly visits),616,,6.423,,,"Per Coffey et al. 2024 reading: 6 of 6 families were Black; SES confounded with race."
Sperry et al. 2019,All sites pooled,"English (US, mixed)",42,18-48,CDS-any-adult,manual transcript (visit recording),1537,,7.338,0.534,papers/input_estimation/sperry_etal_2019.pdf,"Same data as data/sperry/hourly_tokens_Sperry_HartRisley.csv adult_child column. Geometric mean = exp(7.338). σ across dyads = 0.534 in log-units."
Sperry et al. 2019,All sites pooled,"English (US, mixed)",42,18-48,all-adult,manual transcript (visit recording),2200,,7.696,0.428,papers/input_estimation/sperry_etal_2019.pdf,"All adult tokens overheard (CDS + ODS). Across 42 dyads."
Weisleder & Fernald 2013,Latino low-SES Spanish-speaking,"Spanish (US, low-SES)",29,19,CDS-any-adult,LENA hand-coded 5-min sections,458,,6.126,0.845,papers/input_estimation/weisleder_fernald_2013.pdf,"Average 11-hr LENA recording per family (range 4-16 hr); 7 hr after naptime removal. Wide inter-family variation."
Weisleder & Fernald 2013,Latino low-SES Spanish-speaking,"Spanish (US, low-SES)",29,19,all-adult,LENA hand-coded 5-min sections,939,,6.844,0.584,papers/input_estimation/weisleder_fernald_2013.pdf,"Total adult speech (CDS + ODS); same recordings."
Soderstrom & Wittebolle 2013,Home + Daycare combined,"English (CA, Manitoba)",12,,all-adult,LENA AWC,966,,6.873,0.439,,"From data/sperry/hourly_tokens_Sperry_HartRisley.csv (Soderstrom rows). Manitoba LENA recordings; we do not have the original PDF."
Bergelson et al. 2018 (Day by day),SEEDLingS subset,"English (US, NY)",44,6-7,all-adult,LENA AWC + manual annotation,1101,,7.004,0.361,papers/input_estimation/bergelson_etal_2018.pdf,"Per-recording adult speech rate (re-derived from data/seedlings/lena_data.csv; same children sampled at 6-7 mo)."
Bergelson et al. 2019 (NA babies),"4 North American cities pooled","English (US, mixed cities)",61,3-20,CDS-any-adult,LENA + manual classification (30-s sections),,,,,"papers/input_estimation/bergelson_etal_2019.pdf","Reported as ~10.8 min/hr CDS for North American English (cited in Casillas et al. 2021). Token rate not directly reported; ~2160 tok/hr if we apply Coffey 2024's 0.3-s/word conversion (200 words/min)."
Bergelson et al. 2019 (NA babies),"4 North American cities pooled","English (US, mixed cities)",61,3-20,ADS,LENA + manual classification (30-s sections),,,,,"papers/input_estimation/bergelson_etal_2019.pdf","Adult-directed speech overheard by infants. Decreases with age; 2-3x more speech from women than men."
Bergelson et al. 2023 (1001 children),"Pooled across 18 corpora, 12 countries",mixed (12 languages),1001,2-48,all-adult,LENA AWC (algorithm),,,,,"papers/input_estimation/bergelson_etal_2023.pdf","40,000+ hours / 2,500 day-long recordings. Adult talk rate is a predictor variable in their model. β=0.26 (log-vocs/hr-of-child-speech) -> log-scale variability across corpora is substantial. SES (maternal education) NOT a significant predictor of child speech in this large sample. Per-corpus AWC distributions reported in supplement."
Casillas Brown & Levinson 2020,Tseltal Mayan village,Tseltal (Mexico),10,2-36,CDS-any-adult,daylong manual annotation (random clips),720,,6.579,,papers/input_estimation/casillas_etal_2020_tseltal.pdf,"3.6 min/hr TCDS reported (children directly addressed). Conversion: 3.6 min × 60 s × (1 token / 0.3 s) = 720 tokens/hr (using Coffey 2024 / Brent corpus rate)."
Casillas Brown & Levinson 2021,Yélî Dnye / Rossel Island PNG,Yélî Dnye (Papuan),19,0-36,CDS-any-adult,daylong manual annotation (random clips),,,,,"papers/input_estimation/casillas_etal_2021_yeli.pdf","Reported as similar to Tseltal -- 'surprisingly similar, and relatively infrequent rates of directed input' (cited from this paper's abstract / Bunce 2024)."
Cristia 2023 (systematic review),Pirahã (Brazil; extreme low),Pirahã,,0-24,CDS-child-directed-vocalizations,observational systematic review,,,,,,"Cited from Coffey et al. 2024: 0.5% of total observations were child-directed vocalizations. Cristia 2023 (Devel. Sci. e13265) is paywalled; we don't have the PDF."
Cristia 2023 (systematic review),Rural / subsistence-farming groups (median),mixed non-WEIRD,,0-24,CDS-child-directed-vocalizations,observational systematic review,,,,,,"Cited from Coffey et al. 2024: rural/subsistence groups consistently lower than urban groups; 29 reports systematically reviewed."
Cristia 2023 (systematic review),Urban Western groups (median),mixed WEIRD,,0-24,CDS-child-directed-vocalizations,observational systematic review,,,,,,"Cited from Coffey et al. 2024: marked higher rates in urban Western populations. Numerical median not extracted (paywall)."
Coffey et al. 2024 (lower bound),Most-conservative bound (Pirahã + filters),mixed non-WEIRD,,0-24,CDS-optimal,extrapolation from Cristia 2023 + assumptions,4,,1.4,,papers/input_estimation/coffey_etal_2024.pdf,"~1 hr/year of 'optimal' CDS at 8h/day waking = 1 hr × 200 words/min × 60 / (8 × 365) ≈ 4 tokens per waking hour. Most restrictive filters (Pirahã CDS rate ×0.3 mother ×0.3 noise-free ×0.9 no-overlap). Coffey Table 1 row 'Optimal min'."
Coffey et al. 2024 (upper bound),Most-liberal bound (Yélî Dnye + all input),mixed,,0-24,all-input,extrapolation from Bunce et al. + assumptions,7232,,8.886,,papers/input_estimation/coffey_etal_2024.pdf,"~3300 hr/year total input under maximum bound (15h/day waking, all addressee types). 3300 × 200 × 60 / (15 × 365) ≈ 7232 tokens per waking hour. Coffey Table 1 row 'Total max'. Implausibly high under standard assumptions; included as upper bracket."
Kachergis Marchman & Frank 2022 (CDPS standard model),Pooled estimate,"English (US)",,16-30,CDS-any-adult,extrapolation from Sperry+HR+WF,1200,,7.090,,papers/input_estimation/kachergis_etal_2022_jslhr.pdf,"From Coffey et al. 2024 reading: 1200 tok/hr CDS used in 'standard model' calculations. Original Kachergis et al. paper is at papers/kachergis_etal_2022_jslhr.pdf."
Kachergis Marchman & Frank 2022 (CDPS standard model),Pooled estimate,"English (US)",,16-30,ODS-only,extrapolation,1800,,7.496,,papers/input_estimation/kachergis_etal_2022_jslhr.pdf,"From Coffey et al. 2024 reading: 1800 tok/hr overheard speech."
Dailey & Bergelson 2022 (meta-analysis),"Across SES groups, 19 studies",mixed (mostly English US),1991,0-36,CDS-any-adult,quantitative meta-analysis,1429,,7.265,,papers/input_estimation/dailey_bergelson_2022.pdf,"Lower bound across SES groups. Effect of SES g=0.41 (statistically significant but smaller than HR's 30M-word-gap claim)."
Dailey & Bergelson 2022 (meta-analysis),"Across SES groups, 19 studies",mixed (mostly English US),1991,0-36,CDS-any-adult,quantitative meta-analysis,1956,,7.578,,papers/input_estimation/dailey_bergelson_2022.pdf,"Upper bound across SES groups. SES effect on input quantity moderated by what counts as 'language' (CDS-only vs all-speech)."
Dailey & Bergelson 2022 (meta-analysis),"Studies including all-speech (no SES effect)",mixed (mostly English US),,0-36,all-adult,quantitative meta-analysis,,,,,papers/input_estimation/dailey_bergelson_2022.pdf,"Studies that measured all speech in environment found no SES effect — supports Sperry et al. 2019's CDS-vs-overheard argument."
Bunce et al. 2024 (preprint),North American English,"English (US + Canadian)",,2-36,CDS-target-child-directed,daylong manual annotation,,,,,papers/input_estimation/bunce_etal_2024.pdf,"5 cultural groups studied: NA English, UK English, Argentinian Spanish, Tseltal, Yélî Dnye. TCDS rates stable across early development; ADS decreases with age. Children consistently hear more ADS than TCDS."
